"","gene","Pr..Chisq.","fdr","logfc"
"Cfl1","Cfl1",1.64647026622468e-08,1.00099810931321e-06,0.712241781735109
"Chchd2","Chchd2",0.00121432885007732,0.0233037053993182,-0.624193601774257
"Chd3","Chd3",0.00132648360038145,0.0249768854308045,-0.419490522106162
"Chd5","Chd5",0.00137367337180848,0.0257303727659374,-0.241628058415032
"Chl1","Chl1",0.00232110003040317,0.0389966548433545,0.103044670041339
"Cirbp","Cirbp",0.000145285792602924,0.00402424817039914,0.382625666116585
"Cldn5","Cldn5",6.81543966517113e-10,5.04061486164306e-08,-0.317119768108662
"Clta","Clta",1.05966844768443e-05,0.000429494996818538,-0.578343973352234
"Cmpk1","Cmpk1",0.00157682803214999,0.0284024028851901,0.227046882823576
"Cnih2","Cnih2",6.5684799146993e-10,4.90857030292217e-08,0.890879286048004
"Cops6","Cops6",0.000118666185613673,0.00343270651448586,0.387683423042936
"Cox4i1","Cox4i1",9.02367117774302e-44,4.04598856432053e-41,-0.657027182722754
"Cox5a","Cox5a",2.42457376325653e-06,0.000112218659210338,-0.657913142314872
"Cox6a1","Cox6a1",0.00109800567970676,0.0214051433321095,0.115876211919739
"Cox6a2","Cox6a2",5.10118315519042e-05,0.001702134323504,0.14641645589263
"Cox6b1","Cox6b1",3.5861193642441e-09,2.45017336372259e-07,-0.262503837008275
"Cox6c","Cox6c",3.51288303779124e-11,3.23095165552748e-09,-0.198154084449461
"Cox7a2","Cox7a2",9.02917931573541e-14,1.04476342598526e-11,-0.524933353192864
"Cox7a2l","Cox7a2l",1.58099363758368e-09,1.13420483560253e-07,-0.888288402904385
"Cox7b","Cox7b",4.5330348914475e-25,1.12137904521532e-22,-1.45940922814709
"Cox7c","Cox7c",7.74326141018476e-17,1.04811617654086e-14,-0.408984053522566
"Cox8a","Cox8a",2.8319046751487e-48,1.45114886710834e-45,-0.541140815481947
"Cpe","Cpe",0.000410529283445779,0.00971992435458753,0.525510651982462
"Cplx2","Cplx2",2.30744824778488e-05,0.000875853636487233,0.486325723751212
"Cpne2","Cpne2",0.0029426686036377,0.0461941018873017,0.132036056845109
"Creb1","Creb1",0.00264765936864275,0.0427799736726196,0.0732736297459187
"Crmp1","Crmp1",0.0028502689687641,0.0450392722068583,0.429718688329854
"Crym","Crym",5.50628628507846e-05,0.00181540282085016,-0.248663628091364
"Cst3","Cst3",0.000844075753665326,0.017450718895663,-0.295687844587217
"Ctla2a","Ctla2a",0.00090259915572933,0.018395586202279,-0.111428935008219
"Ctnnb1","Ctnnb1",3.07010706836344e-05,0.00111237111658784,-0.380576761963379
"Ctsl","Ctsl",8.10885895082849e-06,0.00033625985036557,-0.284711195824105
"Ctxn1","Ctxn1",0.000438357129224676,0.0102770393629341,0.583185858366791
"Cux2","Cux2",0.000252023716619306,0.00645720765366751,0.171430265540434
"Cxcl14","Cxcl14",0.00306781970782451,0.0478446490955066,-0.253929311848661
"Cycs","Cycs",2.55472236209134e-07,1.36772971833159e-05,0.846483502264252
"Dbpht2","Dbpht2",3.18557936372362e-05,0.00114266731776766,0.299670921535053
"Dcaf12l1","Dcaf12l1",0.00265690776872571,0.0428066001669604,-0.0719427325620274
"Dda1","Dda1",0.00116311992990549,0.0224911654370403,0.260486743427576
"Ddah1","Ddah1",0.00025790381854814,0.00658434873403686,-0.391450823152103
"Dlgap4","Dlgap4",0.000339354436910871,0.0084097941940584,-0.357155093254522
"Dnaja1","Dnaja1",0.00314484105231541,0.0485184724931414,0.390455247541379
"Dnajb6","Dnajb6",1.47200894095366e-08,9.1036139158634e-07,0.615249321108021
"Dok5","Dok5",0.00037371051837105,0.00896655270499637,0.242630986382092
"Dpysl2","Dpysl2",0.000907157038957632,0.0184155700823121,0.39441770387407
"Dstn","Dstn",0.000157216694155056,0.00430485711400143,-0.506932785402999
"Dusp3","Dusp3",0.00327536675639371,0.0499946406603584,0.135328226561257
"Dynll1","Dynll1",9.87898717354058e-11,8.33786517446825e-09,0.50107427891432
"Dynlt1a","Dynlt1a",0.000492826155881303,0.0114010937671897,-0.27909507386988
"Eef1a1","Eef1a1",2.19300805764106e-102,3.93315995137924e-99,-2.23397505859425
"Eef1b2","Eef1b2",2.19327604725802e-29,6.2938249452116e-27,-1.65853043816977
"Eef1d","Eef1d",1.96532312312947e-09,1.36885709566319e-07,-0.534314514659875
"Eef1e1","Eef1e1",0.00014356326695938,0.00399194913630463,0.300440396913772
"Eef1g","Eef1g",3.2982202891399e-23,7.63272011428697e-21,-1.3930825953637
"Eef2","Eef2",4.74569346941441e-17,6.54723172107288e-15,-1.30343699108506
"Eif1b","Eif1b",0.00197471066387334,0.0343016326940129,-0.390109121177392
"Eif2s2","Eif2s2",0.000427573335897385,0.0100570856122224,-0.473602789811781
"Eif3c","Eif3c",0.00124998098248012,0.0237861102607756,-0.14576038388334
"Eif3f","Eif3f",1.0066107173209e-11,9.62856704808016e-10,-0.958719843700331
"Eif3h","Eif3h",0.000667744997529194,0.0142997092903715,-0.394816866408985
"Eif3k","Eif3k",0.00218944417921239,0.0372205510466107,-0.485856880229113
"Eif3m","Eif3m",0.000940931967048413,0.0188029134585106,-0.219406789475392
"Eif4a2","Eif4a2",6.78978067213986e-07,3.45460188240648e-05,0.589583723158057
"Eif4g1","Eif4g1",8.92113374013068e-05,0.00271187345134311,-0.190407985104918
"Eif4g2","Eif4g2",0.00147847144366922,0.0269201881646776,0.50778583609113
"Eif5a","Eif5a",0.00266813685705397,0.0428215074105261,0.329959652601533
"Emid1","Emid1",0.00167840368434234,0.0298780844453397,-0.0957320726471223
"Epb41l4aos","Epb41l4aos",0.000191412979453384,0.00507479128908452,-0.250628985425151
"Epha5","Epha5",0.000603963659625522,0.0132502608383899,-0.248094116396663
"Erdr1","Erdr1",2.32564365377603e-05,0.000878114082746802,-0.258056054770958
"Fabp5","Fabp5",1.4902209505697e-43,6.28873241140412e-41,-1.39709723781774
"Fabp7","Fabp7",1.25917501764519e-09,9.12456724907736e-08,-0.229307993115366
"Fam177a","Fam177a",0.000795859205520699,0.0166457549282959,-0.257067887093282
"Fam81a","Fam81a",0.000847240136207779,0.0174658067159615,0.278494512508131
"Fam96a","Fam96a",0.00139864924343909,0.0261299731052918,-0.170874280425511
"Fau","Fau",1.79068342387289e-104,4.2821209609547e-101,-1.51249059090161
"Fez1","Fez1",5.96451164612961e-06,0.000257767509333336,0.631808150280249
"Fgf13","Fgf13",0.000107979035516548,0.0031632888134187,0.37051043201649
"Fis1","Fis1",2.55952889387323e-05,0.000961364412808721,-0.586484531385397
"Fkbp1a","Fkbp1a",4.6751010777799e-08,2.72676220585309e-06,0.718070418789345
"Fkbp1b","Fkbp1b",0.000119418710001956,0.00344060170905234,0.400801212261746
"Fth1","Fth1",1.0511933773734e-66,9.42657661159596e-64,-0.432538709967272
"Fxyd6","Fxyd6",1.57694405566727e-05,0.000625027439522487,-0.5527619430957
"Gabarap","Gabarap",5.36726584307586e-11,4.75367471089213e-09,-0.827448054404383
"Gap43","Gap43",0.00010802979638801,0.0031632888134187,0.365906981910854
"Gapdh","Gapdh",1.0321287114354e-47,4.9363275838917e-45,-2.21891721945098
"Gas7","Gas7",6.19739341002601e-12,6.17501393382314e-10,0.738565297083341
"Gatm","Gatm",1.90520073684613e-07,1.02766241249129e-05,0.459373996251235
"Gdi1","Gdi1",9.60246541921157e-08,5.42425881239557e-06,0.520862855494656
"Glud1","Glud1",0.000766761402642307,0.0161312208286097,-0.437866221923212
"Gnai2","Gnai2",0.000142324131608595,0.00399025252089593,-0.543470651900636
"Gnas","Gnas",2.32638716361761e-06,0.000108373386440212,-0.540837063469439
"Gnb1","Gnb1",5.57178228641347e-10,4.20757538134003e-08,0.798620213089936
"Gnb2l1","Gnb2l1",3.48867028416745e-20,5.95898109967079e-18,-1.15107430407502
"Gng5","Gng5",6.1821947832738e-05,0.00200683553733965,-0.543048646886111
"Gpx1","Gpx1",0.00266124110321499,0.0428066001669604,-0.322267501740038
"Gpx4","Gpx4",2.16158935367661e-17,3.04063569083842e-15,-1.22171932101047
"Gsk3b","Gsk3b",0.00019163243798378,0.00507479128908452,0.290861063307841
"Gstp1","Gstp1",0.00259266233711486,0.042340799047296,-0.240177673273746
"Gtf2a2","Gtf2a2",0.00113347454872178,0.0219867492114071,0.272068802372685
"H2afy","H2afy",0.000917856813011059,0.0184445511947937,-0.268231618823018
"H3f3a","H3f3a",2.68629525068654e-21,5.07144266537506e-19,-1.2427567490242
"Hba-a1","Hba-a1",3.26105928351405e-05,0.00116392235323034,-0.186349817857794
"Hba-a2","Hba-a2",6.11890905055776e-14,7.31617558811689e-12,-0.277161824802591
"Hbb-bs","Hbb-bs",5.2895096734681e-37,1.72486101806637e-34,-0.936293003200467
"Hccs","Hccs",0.00141475415667621,0.0262259594831915,0.132868663931106
"Hcfc1r1","Hcfc1r1",4.03851344583106e-06,0.00018107684662745,-0.613789673268279
"Hist1h2bc","Hist1h2bc",0.0006478877137553,0.0140885333963099,0.296554278536086
"Hist3h2ba","Hist3h2ba",7.78527129321573e-05,0.00240739380420387,-0.542511218567329
"Hivep1","Hivep1",0.000539476636834085,0.0122474854197713,-0.167242133450315
"Hmgn1","Hmgn1",0.000591483552457062,0.0131371610072042,-0.374031007495386
"Hmgn3","Hmgn3",0.000147897328438915,0.00408082859315683,0.456414262636846
"Hmgn5","Hmgn5",0.000239546107512161,0.00618166825644691,-0.213165204499023
"Hnrnpk","Hnrnpk",6.25263395731741e-05,0.0020205583788196,0.486098505735188
"Hprt","Hprt",0.00183203437009542,0.032134509953703,0.220058618498747
"Hras","Hras",6.64143090879891e-06,0.000283604912736449,-0.588143513839207
"Hsp90aa1","Hsp90aa1",8.89187617317297e-21,1.59475799165857e-18,-1.32887336081178
"Hsp90ab1","Hsp90ab1",3.13481946273908e-63,2.24891948256902e-60,-2.42095436655803
"Hspe1","Hspe1",3.47711035465468e-11,3.23095165552748e-09,-0.901450932530522
"Iah1","Iah1",0.00320348927624428,0.0491064787773001,-0.0537068924564142
"Idh1","Idh1",0.00103284275930154,0.0203003122061075,0.338611386835747
"Idh3g","Idh3g",0.000601314330871439,0.0132326043241463,-0.228157853616488
"Ifngr2","Ifngr2",0.00155326867371416,0.0281392663263267,0.245020513549355
"Ift20","Ift20",0.00072905487628255,0.0154284356414484,-0.266128974592171
"Ift74","Ift74",0.000216679445171459,0.00565257578058199,-0.135621923702356
"Igfbp7","Igfbp7",2.49920503087024e-12,2.56132812735187e-10,-0.288878960862804
"Igfbpl1","Igfbpl1",3.41398648341003e-05,0.00121247222930612,-0.159684064008185
"Iqcc","Iqcc",1.10064000385024e-05,0.000443595021776496,0.187092561393436
"Jund","Jund",0.000595002497548912,0.0131745306093083,0.442432111615211
"Kctd13","Kctd13",2.07887000610974e-05,0.000801817926012433,0.408342810198949
"Kdm5b","Kdm5b",0.00034663881090477,0.00854565920766606,-0.12511360284497
"Kif1a","Kif1a",1.67363581138661e-55,9.23589485452888e-53,-2.2013846923437
"Kif21a","Kif21a",0.00102364805949745,0.0202304440188283,-0.186662211312948
"Kif5c","Kif5c",2.24917283117337e-05,0.00085827478142754,-0.419353270438185
"Kifc2","Kifc2",0.000806640079268912,0.016822197467079,0.289206466446302
"Ktn1","Ktn1",0.00260867482281919,0.042340799047296,-0.180531207324717
"Lage3","Lage3",0.00198666049573455,0.0344258511990329,-0.241806157772237
"Lamtor1","Lamtor1",0.00256150179241619,0.0421472794926462,-0.209346484469283
"Lamtor5","Lamtor5",7.40106211071651e-05,0.00229849435421127,-0.411380055254875
"Lars","Lars",0.0014835440741482,0.0269441650327574,-0.127721818746923
"Lgals1","Lgals1",0.00307777013583676,0.0478957113980324,-0.243256300783019
"Lin7b","Lin7b",4.15483868603776e-06,0.000185135482817608,0.342606236356237
"Lmo3","Lmo3",0.000142389830687114,0.00399025252089593,0.247814822597563
"Lmo4","Lmo4",0.00121488511560427,0.0233037053993182,-0.394723828002384
"Lrrc24","Lrrc24",0.00016849913781962,0.00456155779138851,0.0821771660488378
"Lsm4","Lsm4",0.00124157375845002,0.0236889631465969,-0.339704603257112
"Lsm7","Lsm7",2.2415683712468e-06,0.000105104650296239,0.483143811907096
"Luzp2","Luzp2",6.60603869266693e-05,0.00210629873694189,-0.273387953370558
"Ly6e","Ly6e",0.00249670122461696,0.041341336601934,-0.124707322049916
"Mal2","Mal2",6.54617399817379e-05,0.00210413793227889,0.170014816817471
"Malat1","Malat1",1.58603214430183e-85,2.27563892064427e-82,-3.20150430112728
"Map1a","Map1a",0.000552371180552119,0.0124613548719525,-0.310335621060299
"Map1b","Map1b",2.57537162245314e-08,1.52691867929577e-06,-0.752630835902076
"Map2","Map2",0.00250099527254521,0.041341336601934,0.502566308638239
"Mapt","Mapt",5.5016842700474e-26,1.46181788716e-23,-1.46759164178849
"Marcksl1","Marcksl1",4.24427217671917e-20,7.08102525483333e-18,1.11584532315547
"Mdh2","Mdh2",0.00102055093603312,0.0202249514229326,0.484266463491273
"Med25","Med25",0.00168864382508247,0.0299119279040534,0.218774068063667
"Mef2c","Mef2c",1.52950873635587e-06,7.46441882627007e-05,0.646703114081584
"Meg3","Meg3",5.64899524198173e-05,0.0018504973454784,-0.196366655315007
"Metrn","Metrn",0.00129938780119962,0.0245957996986969,-0.215279798413424
"Mgst3","Mgst3",1.334324798155e-12,1.38731102927014e-10,0.973165097681671
"Mif","Mif",1.41331971421025e-10,1.178971584854e-08,-0.591082201021502
"Mlc1","Mlc1",0.00237140415953843,0.0395638452105318,-0.266624263124539
"Mllt11","Mllt11",3.88995544568529e-22,8.20780599039597e-20,1.29519430042665
"Mmd","Mmd",8.58957132509208e-08,4.89060195922306e-06,0.552394874190973
"Mmp14","Mmp14",0.000742959944535335,0.0156764548296956,-0.113924518449976
"Mn1","Mn1",9.97313336720029e-05,0.00295649829654111,0.217222919366944
"Morf4l1","Morf4l1",0.000654133575544725,0.0140993226621896,0.422900898045909
"Mpc1","Mpc1",0.00016162575031669,0.0043920573211058,0.568411955072539
"Mphosph8","Mphosph8",0.00213542759036421,0.036475136983983,-0.165871565643937
"Msmo1","Msmo1",4.78063952889535e-05,0.00161015530423921,0.209544097366846
"Mt2","Mt2",1.45696236250329e-07,7.91836968833226e-06,-0.626387519713814
"Mt3","Mt3",9.66329125314337e-09,6.13490720796907e-07,-0.606244224507936
"Myeov2","Myeov2",6.84904334363103e-12,6.73082697906973e-10,-0.864336015344432
"N4bp2l2","N4bp2l2",0.00040367432630716,0.00962112829544043,-0.1603144500898
"Naca","Naca",1.92279059640384e-22,4.18003022381853e-20,-1.48671654787898
"Nav1","Nav1",0.00055750039786883,0.0125345945091168,-0.214909642944956
"Ncl","Ncl",0.000559112105229633,0.0125345945091168,-0.349918295493135
"Ncs1","Ncs1",4.42553228417933e-23,9.92149018959454e-21,0.935345665624288
"Ndufa1","Ndufa1",5.39886221907373e-19,8.06904949159061e-17,1.18081408242885
"Ndufa11","Ndufa11",3.75759966050723e-07,1.93935395427905e-05,0.83754512815618
"Ndufa2","Ndufa2",3.28887795137432e-09,2.26869330991917e-07,-0.78212403786334
"Ndufa4","Ndufa4",0.000444246513809972,0.0103811872640806,0.195265001555251
"Ndufa7","Ndufa7",0.000413072578947742,0.00974796934661547,-0.616479198289248
"Ndufaf2","Ndufaf2",0.00230590226872861,0.0388322602719696,-0.298187658325322
"Ndufb2","Ndufb2",0.00209502780853277,0.0361291574481107,0.555767388003623
"Ndufb4","Ndufb4",0.00144287946885478,0.0264737015589876,0.590916455959839
"Ndufb9","Ndufb9",5.15378362532425e-20,8.21627638401693e-18,-1.15254956453723
"Ndufs4","Ndufs4",1.43490843786702e-05,0.000571890729625444,-0.64440573416464
"Nedd8","Nedd8",0.0031884972340605,0.0489813258183084,-0.577757780567727
"Nenf","Nenf",4.92002781076347e-06,0.000215221216551324,-0.642072021873188
"Nisch","Nisch",6.8936515099498e-05,0.00217863682521497,-0.26434694782109
"Nme2","Nme2",0.00168339625409824,0.0298927839774772,-0.166142595088122
"Nmral1","Nmral1",0.000233499573493733,0.00604738606586297,-0.11473382478359
"Nnat","Nnat",1.64044588522127e-23,3.92285292685913e-21,-1.48558530722741
"Nol4l","Nol4l",0.00176667233686952,0.0312170131642904,-0.084935831110652
"Npm1","Npm1",1.50157832207039e-17,2.15446457650659e-15,-0.867760095779768
"Npy","Npy",0.00156831611382268,0.0283403017646446,0.406093193719737
"Nrgn","Nrgn",3.15066952894625e-113,1.13014516003302e-109,2.23785540372521
"Nrxn2","Nrxn2",0.00236356113057635,0.0395249127057219,-0.257848395765856
"Nsa2","Nsa2",1.97790330736692e-06,9.39700551460284e-05,-0.400127399161292
"Nsg1","Nsg1",0.00300676772105822,0.0470972743032133,0.420048452723087
"Nsmf","Nsmf",6.56993165361684e-05,0.00210413793227889,0.405147754889522
"Numbl","Numbl",0.00065003376754949,0.0140886472761331,0.109945591387603
"Olig1","Olig1",3.12726267783516e-10,2.46538268689994e-08,-0.715076973016118
"Orc4","Orc4",0.000498859220847996,0.0114705642639857,0.100887985703517
"Oxct1","Oxct1",1.83262611252252e-05,0.000718429493510194,-0.481602791103948
"Pantr1","Pantr1",7.96734580198402e-05,0.00245312183619886,0.493663306981698
"Pcm1","Pcm1",0.000511893123694147,0.0116952906668211,-0.191342143175964
"Pcp4","Pcp4",1.45785026550816e-37,5.22930890237776e-35,-2.03422505406196
"Pcsk1n","Pcsk1n",2.17787394385498e-06,0.000102789918902734,-0.360604282664436
"Pdap1","Pdap1",0.000564618456354495,0.0126186068719226,-0.42412201598637
"Pebp1","Pebp1",6.89941377489202e-34,2.06234976754481e-31,-1.69174374020194
"Pfdn5","Pfdn5",1.93112073201578e-21,3.74428652202195e-19,-1.4265947057009
"Pfn1","Pfn1",6.61820235658491e-21,1.21740983861898e-18,1.48720617616818
