"Gene","Direction","Count","Files"
"Cldn5","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cldnd1","UP",1,"WTvsHET"
"Clec2l","UP",1,"WTvsHET"
"Clta","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cmpk1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cnih2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cops6","UP",2,"WTvsHET,WTvsNULL"
"Cox4i1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox5a","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Cox6a1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox6a2","UP",1,"WTvsNULL"
"Cox6b1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox6c","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox7a2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox7a2l","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox7b","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox7c","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cox8a","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cpe","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cplx2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Cpne2","UP",1,"WTvsNULL"
"Creb1","UP",1,"WTvsNULL"
"Crlf1","DOWN",1,"WTvsHET"
"Crmp1","UP",1,"WTvsNULL"
"Crym","DOWN",1,"WTvsNULL"
"Cst3","DOWN",1,"WTvsNULL"
"Cst3","UP",2,"Group2vsGroup1,WTvsHET"
"Ctla2a","DOWN",1,"WTvsNULL"
"Ctnnb1","DOWN",2,"WTvsHET,WTvsNULL"
"Ctsl","DOWN",1,"WTvsNULL"
"Ctxn1","UP",1,"WTvsNULL"
"Cux2","UP",1,"WTvsNULL"
"Cxcl14","DOWN",1,"WTvsNULL"
"Cycs","UP",4,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,WTvsHET,WTvsNULL"
"D2Wsu81e","DOWN",1,"Group2vsGroup1"
"Dbi","DOWN",2,"Group2vsGroup1,WTvsHET"
"Dbpht2","UP",1,"WTvsNULL"
"Dcaf12l1","DOWN",1,"WTvsNULL"
"Dctpp1","DOWN",1,"WTvsHET"
"Dda1","UP",2,"WTvsHET,WTvsNULL"
"Ddah1","DOWN",1,"WTvsNULL"
"Dlgap4","DOWN",1,"WTvsNULL"
"Dnaja1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Dnajb6","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Dok5","UP",1,"WTvsNULL"
"Dpysl2","UP",1,"WTvsNULL"
"Dpysl3","DOWN",1,"Group2vsGroup1"
"Dstn","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Dusp3","UP",1,"WTvsNULL"
"Dynll1","UP",1,"WTvsNULL"
"Dynlt1a","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Dynlt1a",NA,1,"WTvsHET"
"Edf1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Eef1a1","DOWN",4,"Group2vsGroup1,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Eef1b2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eef1d","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eef1e1","UP",2,"WTvsHET,WTvsNULL"
"Eef1g","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eef2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eif1b","DOWN",1,"WTvsNULL"
"Eif2s2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eif3c","DOWN",1,"WTvsNULL"
"Eif3f","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eif3h","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Eif3k","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eif3m","DOWN",1,"WTvsNULL"
"Eif4a1","UP",1,"WTvsHET"
"Eif4a2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Eif4g1","DOWN",1,"WTvsNULL"
"Eif4g2","UP",1,"WTvsNULL"
"Eif5a","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Emid1","DOWN",1,"WTvsNULL"
"Eml2","UP",1,"WTvsHET"
"Epb41l4aos","DOWN",1,"WTvsNULL"
"Epha5","DOWN",1,"WTvsNULL"
"Erdr1","DOWN",1,"WTvsNULL"
"Erh","DOWN",1,"Group2vsGroup1"
"Eri3","UP",1,"WTvsHET"
"Evl","UP",1,"WTvsHET"
"Fabp3","UP",2,"Group2vsGroup1,WTvsHET"
"Fabp5","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Fabp7","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Fam104a","UP",1,"Group2vsGroup1"
"Fam177a","DOWN",1,"WTvsNULL"
"Fam81a","UP",1,"WTvsNULL"
"Fam96a","DOWN",1,"WTvsNULL"
"Fau","DOWN",5,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Fbxo44","DOWN",1,"Group2vsGroup1"
"Fdps","UP",2,"Group2vsGroup1,WTvsHET"
"Fez1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Fgf13","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Fis1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Fkbp1a","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Fkbp1b","UP",1,"WTvsNULL"
"Fth1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ftl1","DOWN",2,"Group2vsGroup1,WTvsHET"
"Fto",NA,1,"WTvsHET"
"Fxyd6","DOWN",1,"WTvsNULL"
"Gabarap","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gap43","UP",1,"WTvsNULL"
"Gapdh","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gas7","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gatm","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gdi1","UP",1,"WTvsNULL"
"Ggt7",NA,1,"WTvsHET"
"Glud1","DOWN",1,"WTvsNULL"
"Glul","UP",2,"Group2vsGroup1,WTvsHET"
"Gnai2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gnas","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Gnb1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gnb2l1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gng2","DOWN",1,"WTvsHET"
"Gng5","DOWN",4,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,WTvsHET,WTvsNULL"
"Gpm6a","UP",1,"WTvsHET"
"Gpm6b","UP",1,"WTvsHET"
"Gpx1","DOWN",2,"WTvsHET,WTvsNULL"
"Gpx4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Gsk3b","UP",2,"Group2vsGroup1,WTvsNULL"
"Gstp1","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Gtf2a2","UP",2,"WTvsHET,WTvsNULL"
"H2afv","DOWN",1,"WTvsHET"
"H2afy","DOWN",1,"WTvsNULL"
"H2afz","DOWN",1,"WTvsHET"
"H3f3a","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Hadhb",NA,1,"WTvsHET"
"Haus1",NA,1,"Group2vsGroup1"
"Hba-a1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
