"Gene","Direction","Count","Files"
"Serpine2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Slc14a2","DOWN",1,"WTvsNULL"
"Slc1a3","DOWN",1,"WTvsNULL"
"Slc25a4","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Slc25a5","UP",2,"Group2vsGroup1,WTvsHET"
"Slc35a5","UP",1,"WTvsNULL"
"Slc6a11","DOWN",1,"WTvsNULL"
"Slc6a15","UP",1,"WTvsNULL"
"Slc9a3r2","UP",1,"WTvsNULL"
"Smap1","DOWN",1,"WTvsNULL"
"Smarcc2","DOWN",1,"WTvsNULL"
"Smdt1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Smyd2","UP",1,"WTvsHET"
"Snap25","UP",2,"WTvsHET,WTvsNULL"
"Snapc5","DOWN",1,"WTvsNULL"
"Snca","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Sncb","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Snhg12","DOWN",1,"WTvsNULL"
"Snhg6","DOWN",1,"WTvsHET"
"Snrpb","DOWN",1,"WTvsNULL"
"Snrpd1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Snrpd2","DOWN",2,"Group2vsGroup1,WTvsHET"
"Snrpe","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Snrpg","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Snrpn","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Son","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Sox4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Sparc","DOWN",1,"WTvsNULL"
"Sparcl1","DOWN",1,"WTvsNULL"
"Spry2","UP",2,"Group2vsGroup1,WTvsNULL"
"Sptbn1","DOWN",1,"WTvsHET"
"Sptssa","UP",2,"Group2vsGroup1,WTvsHET"
"Srp14","DOWN",1,"WTvsNULL"
"Srpk2","DOWN",1,"WTvsNULL"
"Srrm2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Srsf11","DOWN",1,"WTvsNULL"
"Srsf3","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ssb","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ssr4","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Sst","DOWN",1,"WTvsNULL"
"Stard3nl","UP",2,"WTvsHET,WTvsNULL"
"Stk19","DOWN",1,"WTvsNULL"
"Stk25","UP",1,"WTvsNULL"
"Stmn1","UP",1,"WTvsNULL"
"Stmn2","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Stmn3","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Stx1a","UP",2,"WTvsHET,WTvsNULL"
"Stx7","UP",2,"WTvsHET,WTvsNULL"
"Sub1","UP",2,"Group2vsGroup1,WTvsNULL"
"Sugt1","DOWN",1,"WTvsNULL"
"Sult4a1","UP",2,"Group2vsGroup1,WTvsHET"
"Sumo1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Taf10","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Tbca","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tbcc","UP",1,"WTvsNULL"
"Tceb1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tceb2","DOWN",2,"Group2vsGroup1,WTvsHET"
"Tcf25","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Thoc7","DOWN",2,"WTvsHET,WTvsNULL"
"Tiam2","DOWN",1,"WTvsNULL"
"Timm8b","DOWN",2,"Group2vsGroup1,WTvsHET"
"Tm7sf2","UP",1,"WTvsNULL"
"Tma7","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tmbim6","UP",2,"Group2vsGroup1,WTvsNULL"
"Tmem151b","DOWN",1,"WTvsNULL"
"Tmem176b","DOWN",1,"WTvsNULL"
"Tmem219","DOWN",1,"WTvsNULL"
"Tmem256","DOWN",2,"Group2vsGroup1,WTvsHET"
"Tmem261","DOWN",2,"WTvsHET,WTvsNULL"
"Tmsb10","DOWN",4,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,WTvsHET,WTvsNULL"
"Tmsb4x","DOWN",4,"Group2vsGroup1,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Tomm7","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Top1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tpd52l2","DOWN",1,"Group2vsGroup1"
"Tpr","DOWN",1,"WTvsHET"
"Tprgl","UP",1,"WTvsNULL"
"Tpt1","DOWN",5,"Group2vsGroup1,Tbr1_WTvsTbr1_HET,Tbr1_WTvsTbr1_NULL,WTvsHET,WTvsNULL"
"Trappc2","UP",1,"WTvsNULL"
"Trappc2l","DOWN",1,"WTvsHET"
"Trim24","DOWN",1,"WTvsNULL"
"Trmt1","DOWN",1,"WTvsNULL"
"Tshz2","DOWN",1,"WTvsHET"
"Ttc3","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tuba1a","UP",2,"Group2vsGroup1,WTvsHET"
"Tuba1b","UP",1,"WTvsNULL"
"Tubb2a","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tubb2b","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tubb3","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tubb4a","UP",1,"WTvsNULL"
"Tubb5","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Tulp4","DOWN",1,"WTvsHET"
"Uap1",NA,1,"WTvsHET"
"Uba52","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Ubb","DOWN",1,"WTvsNULL"
"Ubb","UP",1,"WTvsHET"
"Ubc","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ube2d2a","UP",1,"WTvsNULL"
"Ube2d3","UP",2,"Group2vsGroup1,WTvsNULL"
"Ube2e2","UP",2,"Group2vsGroup1,WTvsNULL"
"Ube2r2","DOWN",1,"WTvsNULL"
"Ube2v2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ubl5","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Uchl1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ugdh","UP",1,"WTvsNULL"
"Ugp2","UP",1,"WTvsNULL"
"Uqcr11","DOWN",2,"Group2vsGroup1,WTvsHET"
"Uqcrb","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Uqcrh","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Uqcrq","DOWN",1,"WTvsHET"
"Uqcrq","UP",1,"WTvsNULL"
"Use1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Usmg5","UP",1,"WTvsNULL"
"Usp22","UP",1,"WTvsNULL"
"Usp47",NA,1,"WTvsHET"
"Usp50","UP",2,"Group2vsGroup1,WTvsHET"
"Vamp2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Vapa","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Vim","DOWN",1,"Group2vsGroup1"
"Vps29","UP",1,"WTvsNULL"
"Vps8","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Vsnl1","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Wbp5","DOWN",2,"Group2vsGroup1,WTvsHET"
"Wdfy1","DOWN",1,"WTvsNULL"
"Wdr89","DOWN",1,"WTvsNULL"
"Wsb2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Xist","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Yaf2","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ybx1","DOWN",2,"Group2vsGroup1,WTvsNULL"
"Ypel3","UP",1,"WTvsNULL"
"Ywhae","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ywhah","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ywhaq","UP",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Ywhaz","UP",1,"WTvsNULL"
"Zc3h15","DOWN",1,"WTvsHET"
"Zcchc18","UP",1,"WTvsNULL"
"Zfos1","DOWN",3,"Group2vsGroup1,WTvsHET,WTvsNULL"
"Zfp106","DOWN",1,"WTvsNULL"
"Zfp260",NA,1,"WTvsHET"
"Zfp428","DOWN",1,"WTvsHET"
"Zfp704","DOWN",1,"WTvsNULL"
"Zfp706","UP",1,"WTvsNULL"
"Zmat2","DOWN",1,"WTvsNULL"
"Zwint","UP",1,"WTvsNULL"
