"gene" "pval" "padj" "logfc" "method"
"Stmn3" "Stmn3" 2.86657211654501e-22 2.05647883640939e-18 -0.16181388658232 "seurat"
"Vps8" "Vps8" 6.85537311986507e-22 4.9180446761912e-18 -0.320100108479655 "seurat"
"Meis2" "Meis2" 6.91471534812625e-22 4.96061679074577e-18 -0.320773889334661 "seurat"
"Cox7b" "Cox7b" 7.89821958282118e-22 5.66618272871592e-18 -0.166568434899579 "seurat"
"Zfos1" "Zfos1" 1.34669393590722e-21 9.66118229619842e-18 -0.321787257345076 "seurat"
"Calm1" "Calm1" 1.06627332498233e-20 7.64944483342325e-17 0.129409164520425 "seurat"
"AY036118" "AY036118" 1.40487328558396e-20 1.00785609507793e-16 -0.237553728492633 "seurat"
"1810022K09Rik" "1810022K09Rik" 1.75614572310944e-20 1.25985894175872e-16 -0.273708145384567 "seurat"
"H3f3a" "H3f3a" 2.91950106669141e-20 2.09445006524442e-16 -0.241433700236662 "seurat"
"Pfdn5" "Pfdn5" 2.92725544084264e-20 2.10001305326051e-16 -0.17780391209509 "seurat"
"Ndufa1" "Ndufa1" 5.31246736528252e-20 3.81116408785368e-16 0.228664445188482 "seurat"
"Cox7a2l" "Cox7a2l" 9.76019419745025e-20 7.00196331725081e-16 -0.220010637524793 "seurat"
"Ywhaq" "Ywhaq" 1.29678747441732e-19 9.30315334146986e-16 0.292355425826006 "seurat"
"Tbca" "Tbca" 1.74977044617751e-19 1.25528531808774e-15 -0.19829198890045 "seurat"
"Ccnd2" "Ccnd2" 2.26223655414253e-19 1.62292850394185e-15 -0.238719316786053 "seurat"
"Atp6v1g1" "Atp6v1g1" 2.5166762747542e-19 1.80546355950866e-15 0.304744073212322 "seurat"
"Cfl1" "Cfl1" 4.12220290700908e-19 2.95726836548831e-15 0.145013753522107 "seurat"
"Eef1g" "Eef1g" 4.19889720149841e-19 3.01228885235496e-15 -0.197931634620727 "seurat"
"Tma7" "Tma7" 7.24779996632516e-19 5.19957169584167e-15 -0.138723333315264 "seurat"
"Cox6a1" "Cox6a1" 7.75454239214244e-19 5.56310871212298e-15 0.10851620296172 "seurat"
"Banf1" "Banf1" 9.24540513661137e-19 6.63265364500499e-15 -0.248677704421653 "seurat"
"Rbp1" "Rbp1" 1.21227420876579e-18 8.69685517368577e-15 -0.333503275118591 "seurat"
"Myeov2" "Myeov2" 1.75811520039779e-18 1.26127184476537e-14 -0.166279802689603 "seurat"
"Snca" "Snca" 2.3647167137729e-18 1.69644777046068e-14 0.266756816230028 "seurat"
"Calm3" "Calm3" 3.16210005462089e-18 2.26849057918503e-14 0.15441567117498 "seurat"
"Sncb" "Sncb" 3.56466295678331e-18 2.55728920519634e-14 0.29879881980478 "seurat"
"Atp5h" "Atp5h" 3.88604002047822e-18 2.78784511069108e-14 -0.18082458911251 "seurat"
"Gas7" "Gas7" 4.74039357646755e-18 3.40075835175782e-14 0.376258727982701 "seurat"
"Snrpg" "Snrpg" 5.60916695144808e-18 4.02401637096885e-14 -0.21731089601619 "seurat"
"Ssb" "Ssb" 8.43467924217679e-18 6.05103888833763e-14 -0.276349895544043 "seurat"
"Ptma" "Ptma" 1.56071336780322e-17 1.11965577006203e-13 -0.188757918776943 "seurat"
"Top1" "Top1" 1.58730318633494e-17 1.13873130587669e-13 -0.296563365811115 "seurat"
"Ndufb9" "Ndufb9" 3.42578910712212e-17 2.45766110544941e-13 -0.149212711433373 "seurat"
"Hmgb2" "Hmgb2" 3.87775305152204e-17 2.78190003916191e-13 -0.269525130618626 "seurat"
"Ap3s1" "Ap3s1" 5.03090702626687e-17 3.60917270064385e-13 0.309040884182882 "seurat"
"Cox6b1" "Cox6b1" 5.43370133424529e-17 3.89813733718757e-13 -0.0887485315128949 "seurat"
"Snrpe" "Snrpe" 2.0508205039722e-16 1.47125862954966e-12 -0.241912387286033 "seurat"
"Lmo4" "Lmo4" 2.08813806281801e-16 1.49803024626564e-12 -0.234543991841638 "seurat"
"Gnb1" "Gnb1" 2.61474323854535e-16 1.87581679933243e-12 0.279061282274138 "seurat"
"Eif4a2" "Eif4a2" 2.79873907901127e-16 2.00781541528269e-12 0.320127009575478 "seurat"
"Cox7a2" "Cox7a2" 9.01180540714742e-16 6.46506919908756e-12 -0.101869066125833 "seurat"
"Mgst3" "Mgst3" 1.16249927985652e-15 8.3397698336907e-12 0.174681009784289 "seurat"
"Use1" "Use1" 1.17763592198124e-15 8.44836010429343e-12 -0.27197852336223 "seurat"
"Sp8" "Sp8" 2.09913503400223e-15 1.5059194733932e-11 -0.166584705064926 "seurat"
"Arf5" "Arf5" 2.57191766544868e-15 1.84509373319289e-11 0.184845157102929 "seurat"
"Cpe" "Cpe" 6.74362841366357e-15 4.83787902396225e-11 0.200842854276156 "seurat"
"Meaf6" "Meaf6" 7.00714163787735e-15 5.02692341101321e-11 -0.222378712899938 "seurat"
"Vapa" "Vapa" 7.95870522545126e-15 5.70957512873873e-11 0.295141771187524 "seurat"
