"gene" "pval" "padj" "logfc" "method"
"64" "Pou3f3" 9.82679586055923e-31 1.28037474579826e-30 -0.155109917921226 "limmavoom"
"65" "AI597479" 3.64448648532197e-116 2.39647534791016e-115 -0.166363602949858 "limmavoom"
"66" "Fhl2" 2.49477810583744e-120 2.01776078142929e-119 -0.170951634619014 "limmavoom"
"67" "Uxs1" 4.5176700141056e-112 2.45528520312072e-111 -0.154933229516906 "limmavoom"
"68" "Tpp2" 1.87711346047509e-95 5.79948835721287e-95 -0.145286935915749 "limmavoom"
"69" "Tex30" 2.42289621186156e-132 4.69779930375536e-131 -0.168231356118486 "limmavoom"
"70" "Ercc5" 1.79772778960413e-123 1.75229608187772e-122 -0.1582285867385 "limmavoom"
"71" "Wdr75" 4.93680055800667e-122 4.41053638893398e-121 -0.163177861089291 "limmavoom"
"72" "Slc39a10" 3.88512872126411e-82 9.25669659460269e-82 -0.152027403923131 "limmavoom"
"73" "Tmeff2" 8.98610251449307e-148 9.20947134842476e-146 -0.190144244683685 "limmavoom"
"74" "Myo1b" 1.07434643213922e-101 3.88475872185824e-101 -0.150126186848365 "limmavoom"
"75" "Gls" 3.72210611243446e-74 7.94950558219851e-74 -0.167056064936448 "limmavoom"
"76" "Nab1" 4.27346696545601e-108 1.93914307464778e-107 -0.163238275978296 "limmavoom"
"77" "Inpp1" 1.11872125246583e-83 2.74570860937047e-83 -0.155844892095289 "limmavoom"
"78" "Hibch" 3.24663240858411e-116 2.14074824441015e-115 -0.155910779119819 "limmavoom"
"79" "Asnsd1" 1.13745178673834e-40 1.65586021064546e-40 -0.144414594497703 "limmavoom"
"80" "Dnah7a" 5.86695828619959e-137 1.83797199760681e-135 -0.167103494827104 "limmavoom"
"81" "Gtf3c3" 3.81320734428977e-108 1.73798916695901e-107 -0.149028890947637 "limmavoom"
"82" "Sf3b1" 1.05436857600064e-24 1.28859287295206e-24 -0.130952753040361 "limmavoom"
"83" "Coq10b" 5.70964990031744e-97 1.83434968136486e-96 -0.169977211112126 "limmavoom"
"84" "Hspd1" 1.87093161769367e-25 2.30698924464325e-25 -0.222892812698662 "limmavoom"
"85" "Hspe1" 8.77400718367066e-13 9.65409931528426e-13 0.213463809025175 "limmavoom"
"86" "Mob4" 4.9832913222023e-51 8.11580747910995e-51 -0.225573662732878 "limmavoom"
"87" "Rftn2" 8.78636728072384e-67 1.70591065959169e-66 -0.160432911042887 "limmavoom"
"88" "Satb2" 9.12935123104806e-74 1.93998713659771e-73 -0.17692802697113 "limmavoom"
"89" "Tyw5" 1.20260020104005e-108 5.57329059577607e-108 -0.176409499814972 "limmavoom"
"90" "9430016H08Rik" 2.40885014972354e-65 4.60952013179959e-65 -0.155588498319616 "limmavoom"
"91" "Spats2l" 5.07104478252661e-75 1.09643385382296e-74 -0.15326509944001 "limmavoom"
"92" "Bzw1" 2.14903489995801e-32 2.84659829621469e-32 -0.27233210161417 "limmavoom"
"93" "Ppil3" 1.24391124963875e-61 2.27648451655826e-61 -0.172960300968496 "limmavoom"
"94" "Nif3l1" 1.51925419191359e-95 4.70601449602249e-95 -0.15859321218501 "limmavoom"
"95" "Orc2" 4.09265400770165e-120 3.25146177754725e-119 -0.158752754037835 "limmavoom"
"96" "Fam126b" 3.79250355052364e-119 2.89748886809975e-118 -0.159681164866278 "limmavoom"
"97" "Ndufb3" 0.0165342262574087 0.0169718899943697 -0.0624070011874729 "limmavoom"
"98" "Cflar" 1.4384979918444e-108 6.64506412974355e-108 -0.165814678140378 "limmavoom"
"99" "Trak2" 2.40793729242734e-66 4.6537020840177e-66 -0.164877785105959 "limmavoom"
"100" "Stradb" 4.76200725787139e-50 7.67872332388613e-50 -0.182110787533365 "limmavoom"
"101" "Tmem237" 4.72071024665897e-117 3.26580282637719e-116 -0.183963529397478 "limmavoom"
"102" "Sumo1" 6.31315918726128e-28 7.99904698152816e-28 -0.247092590665552 "limmavoom"
"103" "Nop58" 4.24890985502764e-29 5.44218519906593e-29 -0.133327467439899 "limmavoom"
"104" "Bmpr2" 1.3261644145527e-58 2.3473731828278e-58 -0.156674251082692 "limmavoom"
"105" "Fam117b" 1.57674168584641e-82 3.79073218976614e-82 -0.158484181827526 "limmavoom"
"106" "Ica1l" 3.79858138285945e-59 6.76036289770124e-59 -0.173915071545978 "limmavoom"
"107" "Wdr12" 2.77642799609504e-61 5.05792139258146e-61 -0.169241949248496 "limmavoom"
"108" "Nbeal1" 1.46380092372128e-138 5.3306131100388e-137 -0.166618344794672 "limmavoom"
"109" "Cyp20a1" 1.73030451080656e-81 4.06856917749139e-81 -0.180810113276321 "limmavoom"
"110" "Abi2" 1.76154539800418e-51 2.88194451203694e-51 -0.208488270989112 "limmavoom"
"111" "Raph1" 8.17963175905947e-129 1.18307819031235e-127 -0.174891438547008 "limmavoom"
"112" "Ino80d" 1.0615248310599e-75 2.3097904573927e-75 -0.137173123550636 "limmavoom"
"113" "Ndufs1" 6.42976867506426e-30 8.30222470750738e-30 -0.171841855412114 "limmavoom"
"114" "Eef1b2" 2.2811165987033e-23 2.75546901483372e-23 0.292752192471796 "limmavoom"
"115" "Zdbf2" 1.53689027487106e-91 4.34422806616431e-91 -0.147181759603202 "limmavoom"
"116" "Fastkd2" 1.28805969845979e-133 2.85201860393534e-132 -0.165092031194847 "limmavoom"
"117" "Klf7" 4.10914952930026e-17 4.69261998140721e-17 -0.150733642956259 "limmavoom"
"118" "Creb1" 2.38424050070034e-129 3.59339104034123e-128 -0.168751613122032 "limmavoom"
"119" "Idh1" 6.88401017851448e-24 8.35349949605258e-24 -0.2333564519082 "limmavoom"
"120" "Map2" 0.000394902628133437 0.000410108780287967 -0.0980680120852196 "limmavoom"
"121" "Rpe" 1.96114998973033e-159 1.08225307894811e-156 -0.176605772323996 "limmavoom"
"122" "Acadl" 2.3774251854921e-29 3.0516457829165e-29 -0.167119558502329 "limmavoom"
"123" "Lancl1" 1.0019451659002e-46 1.55482470693662e-46 -0.180243272459664 "limmavoom"
"124" "Atic" 3.22876798902691e-110 1.59197124077519e-109 -0.16471657366623 "limmavoom"
"125" "Xrcc5" 1.07305063893815e-92 3.10531072357493e-92 -0.146696986827437 "limmavoom"
"126" "March4" 2.00814140713144e-116 1.33146085533835e-115 -0.152657806820802 "limmavoom"
"127" "Igfbp2" 0.00562895184140575 0.00580035916550486 -0.0736190674344474 "limmavoom"
"128" "Igfbp5" 3.6712234281731e-97 1.18263838678553e-96 -0.15858302798473 "limmavoom"
"129" "Arpc2" 6.7446436538285e-07 7.15135583395886e-07 -0.123934091435737 "limmavoom"
"130" "Aamp" 4.31281679825742e-21 5.10816372968445e-21 -0.205714038738262 "limmavoom"
"131" "Pnkd" 2.23774845306694e-10 2.42245471590497e-10 -0.159581191667937 "limmavoom"
"132" "Ctdsp1" 9.01953641606516e-106 3.72516719912789e-105 -0.158903256796077 "limmavoom"
"133" "Usp37" 3.14755029593673e-139 1.17606905328386e-137 -0.168637784648405 "limmavoom"
"134" "Rqcd1" 3.38203227970403e-112 1.85921069537139e-111 -0.163460697404059 "limmavoom"
"135" "Bcs1l" 2.71538559532822e-130 4.50930006038997e-129 -0.176095950487092 "limmavoom"
"136" "Rnf25" 4.72432383951936e-99 1.58820521202961e-98 -0.164186949956233 "limmavoom"
"137" "Cdk5r2" 1.69357364936592e-34 2.2967291796883e-34 -0.251576007430938 "limmavoom"
"138" "Cnppd1" 3.58398075545771e-118 2.61561321868298e-117 -0.157788373547085 "limmavoom"
"139" "Fam134a" 1.42269280027349e-49 2.27923138659268e-49 -0.163653299828303 "limmavoom"
"140" "Zfand2b" 3.32125576731676e-86 8.49133602093031e-86 -0.167558458945139 "limmavoom"
"141" "Atg9a" 4.15513894439143e-116 2.71979623969563e-115 -0.158875000620142 "limmavoom"
"142" "Stk16" 3.77573167061288e-21 4.47498744506473e-21 -0.156198160294592 "limmavoom"
"143" "Tuba4a" 5.57016272925985e-40 8.02416614853618e-40 -0.206345054788249 "limmavoom"
"144" "Dnajb2" 8.93972859423549e-95 2.71867795400786e-94 -0.172675968957192 "limmavoom"
"145" "Ptprn" 1.24200483577526e-103 4.75715039607674e-103 -0.16127993622263 "limmavoom"
"146" "Resp18" 5.2800626809699e-46 8.11812466208274e-46 -0.152652692898464 "limmavoom"
"147" "Dnpep" 3.43235851913497e-35 4.69470734342694e-35 -0.173563772691158 "limmavoom"
"148" "Speg" 3.77040322497527e-55 6.43561092932967e-55 -0.162700870445019 "limmavoom"
"149" "Chpf" 8.33304169193704e-94 2.47336537434656e-93 -0.166773294260115 "limmavoom"
"150" "Tmem198" 3.19440225853767e-100 1.11245833993928e-99 -0.161157262654144 "limmavoom"
"151" "Inha" 2.97737576310885e-92 8.54387748981714e-92 -0.147669703169061 "limmavoom"
"152" "Slc4a3" 1.22904961668654e-74 2.64067144357869e-74 -0.177358121051079 "limmavoom"
"153" "Epha4" 2.09827107958786e-90 5.80748330438398e-90 -0.168612453370389 "limmavoom"
"154" "Farsb" 1.12854732472849e-35 1.55307855507428e-35 -0.170192517568684 "limmavoom"
"155" "Acsl3" 1.07240001733852e-81 2.53572766130077e-81 -0.153191026341338 "limmavoom"
"156" "Scg2" 9.47292154566081e-90 2.58496535445305e-89 -0.164194371655318 "limmavoom"
"157" "Wdfy1" 5.1352649558262e-34 6.92358406184874e-34 -0.103546879583636 "limmavoom"
"158" "Serpine2" 4.80209435809474e-14 5.34194835245335e-14 -0.192419659233512 "limmavoom"
"159" "Cul3" 2.49175305089741e-79 5.66049283949906e-79 -0.16582240153058 "limmavoom"
"160" "Mff" 3.53788355806247e-14 3.94111438595344e-14 -0.184896507052262 "limmavoom"
"161" "Agfg1" 1.29361024259605e-79 2.95647017533739e-79 -0.172737980481046 "limmavoom"
"162" "Sphkap" 2.00574830166659e-71 4.14675455797006e-71 -0.172299513083007 "limmavoom"
"163" "Pid1" 2.61872435968837e-128 3.64083886752022e-127 -0.177579233694772 "limmavoom"
"164" "Dner" 1.10521862643384e-70 2.26344231402694e-70 -0.185840365726683 "limmavoom"
"165" "Trip12" 5.62639931977499e-108 2.53382226742409e-107 -0.159732332217229 "limmavoom"
"166" "Cab39" 2.22283442617444e-55 3.79952684616998e-55 -0.164952591281323 "limmavoom"
"167" "Itm2c" 4.96992708941851e-44 7.4903901133379e-44 -0.149385438569053 "limmavoom"
"168" "2810459M11Rik" 4.40203208231762e-102 1.6194963158229e-101 -0.151262293153416 "limmavoom"
"169" "Psmd1" 4.06488137409888e-49 6.47888446518227e-49 -0.195765417129864 "limmavoom"
"170" "Ncl" 0.000361792095351225 0.000375886530347529 -0.0975453644790924 "limmavoom"
"171" "Ptma" 6.52957160843502e-18 7.5021054963025e-18 0.269257034961088 "limmavoom"
"172" "Pde6d" 2.76385131579694e-32 3.65760364130737e-32 -0.216124832074 "limmavoom"
"173" "Cops7b" 3.42705229743483e-101 1.22438611463135e-100 -0.176498665259346 "limmavoom"
"174" "Eif4e2" 6.40405203333136e-24 7.77634889761665e-24 -0.157606564822648 "limmavoom"
"175" "Efhd1" 1.0220492854964e-83 2.51016144270839e-83 -0.165728243378786 "limmavoom"
