"gene" "pval" "padj" "logfc" "method"
"Asnsd1" "Asnsd1" 0.0567112897785824 0.188281444567256 0 "monocle"
"Dnah7a" "Dnah7a" 0.328199249595619 0.568117217730935 0 "monocle"
"Gtf3c3" "Gtf3c3" 0.104918363574194 0.282991983583054 0 "monocle"
"Sf3b1" "Sf3b1" 0.000343422972664881 0.00355002363962227 0 "monocle"
"Coq10b" "Coq10b" 0.857110024028079 0.936476898016668 0 "monocle"
"Hspd1" "Hspd1" 0.179838448706864 0.397461808694714 0 "monocle"
"Hspe1" "Hspe1" 5.82769441166704e-14 3.73284640261601e-12 0 "monocle"
"Mob4" "Mob4" 0.0133650888098135 0.0660429629479073 0 "monocle"
"Rftn2" "Rftn2" 0.351932892710858 0.592443511228318 0 "monocle"
"Satb2" "Satb2" 0.757757050958085 0.885326827124152 0 "monocle"
"Tyw5" "Tyw5" 0.288977518198672 0.525906827893779 0 "monocle"
"9430016H08Rik" "9430016H08Rik" 0.532501161000021 0.740485235319665 0 "monocle"
"Spats2l" "Spats2l" 0.259517354454061 0.496606428608544 0 "monocle"
"Bzw1" "Bzw1" 7.2610576436959e-05 0.000940267645051884 0 "monocle"
"Ppil3" "Ppil3" 0.572742183317679 0.771743957663997 0 "monocle"
"Nif3l1" "Nif3l1" 0.528244845158226 0.737488338260127 0 "monocle"
"Orc2" "Orc2" 0.783137760442251 0.897624268000114 0 "monocle"
"Fam126b" "Fam126b" 0.288613446847266 0.525510880122408 0 "monocle"
"Ndufb3" "Ndufb3" 0.592479647478295 0.784794865400534 0 "monocle"
"Cflar" "Cflar" 0.410928891364346 0.646216415070501 0 "monocle"
"Trak2" "Trak2" 0.985335271322801 0.993366390734931 0 "monocle"
"Stradb" "Stradb" 0.38602723321404 0.625985391292388 0 "monocle"
"Tmem237" "Tmem237" 0.0864855154677357 0.248875687110123 0 "monocle"
"Sumo1" "Sumo1" 4.37401792178528e-13 2.59332269180889e-11 0 "monocle"
"Nop58" "Nop58" 0.00589078124774094 0.0352758469710297 0 "monocle"
