"","gene","Pr..Chisq.","fdr","logfc"
"1","0610007P14Rik",0.119996486354756,0.467704106299172,0.0870821778236912
"2","0610009B22Rik",0.71266450581874,0.914343322951086,0.0213102390615221
"3","0610009L18Rik",0.111051623002693,0.455189320432925,-0.099594072749683
"4","0610009O20Rik",0.778382867425069,0.934457207020048,0.0116766950071347
"5","0610010F05Rik",0.0635547637447428,0.352350753558566,0.028529825134147
"6","0610010K14Rik",0.508065121278075,0.81440342622957,0.0082543472729793
"7","0610011F06Rik",0.101817145490168,0.437649012430475,-0.118152097851181
"8","0610012G03Rik",0.0346376377318485,0.25714699691087,-0.363993374130878
"9","0610037L13Rik",0.650411437918915,0.886990862300237,-0.0381811207531148
"10","0610040J01Rik",0.234464825223357,0.616152668537423,-0.0432837188696175
"11","1110001J03Rik",0.658799119049881,0.891045581392774,-0.0967968866125704
"12","1110004E09Rik",0.582273629708137,0.849255692132642,0.0110279207607978
"13","1110004F10Rik",0.0320823719709677,0.246101102122484,0.296941669110341
"14","1110008F13Rik",0.282303860429193,0.660007461854043,-0.11086120733145
"15","1110008P14Rik",0.599961626302382,0.859486065951283,0.0615667982340411
"16","1110012L19Rik",0.896490786983747,0.967277019976146,8.24582634192939e-05
"17","1110015O18Rik",0.479284453601086,0.80222112530932,0.0214381430645659
"18","1110017D15Rik",0.838719782945232,0.951136585278535,-0.013016172198791
"19","1110032A03Rik",0.748792001636471,0.925815717291708,-0.0163290767431968
"20","1110034G24Rik",0.872672568490251,0.959967156809352,0.0074467312187579
"21","1110038F14Rik",0.145792509351966,0.511947192855096,-0.0540298334186911
"22","1110046J04Rik",0.858988710814164,0.955670007091696,0.00971727392428776
"23","1110051M20Rik",0.879558830539304,0.962617093865594,-0.0266210892508684
"24","1110059E24Rik",0.379236424247202,0.745803904144041,-0.0602470785210439
"25","1110059G10Rik",0.838575787970555,0.951136585278535,0.0207534377678582
"26","1110065P20Rik",0.282699406070658,0.660184094775683,-0.141970609142327
"27","1190005I06Rik",0.728591195249813,0.919098511468641,-0.00525942074674912
"28","1190007I07Rik",0.116645401345991,0.46323515451543,0.0510970534387154
"29","1300002E11Rik",0.28832774250254,0.66638634816792,-0.0412880234902674
"30","1500009C09Rik",0.84481382409193,0.952797344753346,-0.049251624559091
"31","1500009L16Rik",0.130774249522333,0.487000681660589,0.11262533244084
"32","1500011B03Rik",0.0751377799327203,0.37880423980136,-0.0696101707091772
"33","1500011K16Rik",0.190571316040399,0.569412170459736,-0.00481468708100075
"34","1500015A07Rik",0.00833815257042393,0.101558415178644,0.0806766774022407
"35","1500026H17Rik",0.00160429351184227,0.0287730041348912,0.110297061146733
"36","1500035N22Rik",0.2266752146545,0.605641764388531,-0.095564405432916
"37","1600020E01Rik",0.932082760913359,0.977052927322658,-0.0142141587146367
"38","1700001L19Rik",0.722039194458906,0.918260801462186,-0.00725624015037868
"39","1700016K19Rik",0.406116167547742,0.759905421488655,-0.0343119028697727
"40","1700020I14Rik",0.0273829330219134,0.225377931807078,0.155681747073736
"41","1700021F05Rik",0.223320898870373,0.603152344841474,0.0923687879133608
"42","1700023F06Rik",0.989901289080972,0.99653348228771,0.00385364448876713
"43","1700025G04Rik",0.800074899384552,0.941249151883367,0.0179963542039664
"44","1700037C18Rik",0.581328151802849,0.849038392759988,-0.0177744490362756
"45","1700037H04Rik",0.789478291336148,0.938367904072063,0.00839153735052356
"46","1700047I17Rik2",0.808955886593563,0.943147663923885,0.000849285972918848
"47","1700086L19Rik",0.474828975666205,0.80097927407839,0.0477447029180381
"48","1700086O06Rik",0.258235864223798,0.637722578293124,0.00371681632144373
"49","1700088E04Rik",0.0588856113190731,0.341098776255175,-0.0639086114120527
"50","1700096K18Rik",0.148069364483763,0.515655155731317,0.0321991135932305
"51","1700097N02Rik",0.895171414805251,0.967277019976146,-0.0130068680678289
"52","1700123O20Rik",0.857062020269798,0.955184938045534,0.00360852420160707
"53","1810013L24Rik",0.689483845672729,0.902105480074459,-0.0213521225119581
"54","1810022K09Rik",0.0005006043161905,0.0114739149020787,-0.369719971379888
"55","1810024B03Rik",0.526865343182191,0.822754020894436,-0.010909098701625
"56","1810026J23Rik",0.270719579625291,0.649570243537671,-0.0470927605417617
"57","1810037I17Rik",0.0442200420715859,0.290222635901646,-0.237586602537051
"58","1810043G02Rik",0.806562253348683,0.943110853640349,0.0325954004044656
"59","1810043H04Rik",0.14602572723848,0.511947192855096,0.0694743676660857
"60","1810055G02Rik",0.747812341904646,0.925815717291708,0.0191297927748065
"61","1810058I24Rik",0.47674301273112,0.801209035120433,0.0543767876366061
"62","2010107E04Rik",3.96152004544385e-10,3.05590804365744e-08,-0.43512317454398
"63","2010107G23Rik",0.252895055698585,0.633647883728767,0.0705397525314165
"64","2010320M18Rik",0.155193838544276,0.524623250974225,-0.0628976919577643
"65","2210013O21Rik",0.55670526884713,0.836223534068114,-0.0939194439393496
"66","2210016F16Rik",0.318952789351014,0.694028691610966,0.0209899539423254
"67","2210016L21Rik",0.509441375861949,0.814846826367337,-0.094068367750663
"68","2300009A05Rik",0.0214068107068379,0.192160652549961,-0.138430682294013
"69","2310009B15Rik",0.732350511003413,0.919285546853741,-0.0542926303636641
"70","2310011J03Rik",0.17703138300851,0.552028864601659,-0.0703262169634084
"71","2310015A10Rik",0.000518359689517816,0.0118054362304788,-0.102914164607873
"72","2310022A10Rik",0.602422823548514,0.860741154379016,-0.0193468580521978
"73","2310022B05Rik",0.629093431819407,0.878038186745609,0.0362993821806279
"74","2310033P09Rik",0.181287683861188,0.5561782704644,-0.0728481854066538
"75","2310035C23Rik",0.0981669443358623,0.429769123420808,0.0297454106196187
"76","2310036O22Rik",0.000117705031541832,0.00341868783919475,-0.410771729896414
"77","2310039H08Rik",0.750081897851532,0.925815717291708,0.0379702289590034
"78","2310040G24Rik",0.484073295545712,0.805356269036826,0.0310074045978126
"79","2310057M21Rik",0.0176247202148873,0.169717775599465,0.0557396070396604
"80","2310061I04Rik",0.031159480509856,0.241401850083917,0.116043051027698
"81","2310069G16Rik",0.785627639895384,0.937006265770488,0.00262024744487405
