"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Krit11",1.43829557595341e-71,0.45374268011574,0.265,0.055,2.14780678357123e-67,"8","Krit1"
"Rpn12",2.0273240553865e-71,0.43847762115702,0.353,0.087,3.02740301190866e-67,"8","Rpn1"
"Impact",3.89625921002663e-71,0.398156263070366,0.251,0.049,5.81828387833277e-67,"8","Impact"
"Elovl4",6.54503306456134e-71,0.349298690142085,0.263,0.053,9.77369787530945e-67,"8","Elovl4"
"Nop56",1.82813360343461e-70,0.563270990770015,0.424,0.12,2.7299519100089e-66,"8","Nop56"
"Atp2c1",2.0799534161346e-69,0.469810629770396,0.306,0.071,3.1059944363138e-65,"8","Atp2c1"
"Snx32",3.1044268696464e-69,0.346870429078193,0.26,0.053,4.63584064444297e-65,"8","Snx32"
"Ankrd12",3.30421799064106e-69,0.499943259600082,0.387,0.104,4.93418872542429e-65,"8","Ankrd12"
"Igsf8",8.35847506861978e-69,0.459370843835102,0.309,0.072,1.24817108199699e-64,"8","Igsf8"
"Syn1",1.39030402723344e-68,0.419845000330704,0.401,0.107,2.0761410038677e-64,"8","Syn1"
"Ubn2",1.58566706181741e-68,0.462979538475476,0.272,0.059,2.36787662341193e-64,"8","Ubn2"
"Map7d2",1.97109728799483e-68,0.360288631586627,0.306,0.069,2.94343958016268e-64,"8","Map7d2"
"Tmeff1",7.41133360278791e-68,0.454122333551438,0.339,0.084,1.10673444690432e-63,"8","Tmeff1"
"Mat2a2",8.83711421621186e-68,0.556728916908913,0.403,0.114,1.31964626590692e-63,"8","Mat2a"
"Rogdi",1.03474800308073e-67,0.415303953737656,0.318,0.075,1.54518919300045e-63,"8","Rogdi"
"Clcn31",4.56045536987145e-67,0.484595557672364,0.415,0.118,6.81012800382904e-63,"8","Clcn3"
"Hnrnph13",7.3380025024211e-67,0.515129871102601,0.452,0.137,1.09578391368654e-62,"8","Hnrnph1"
"Sgip1",7.34554108717757e-67,0.429865132996334,0.3,0.069,1.09690965054823e-62,"8","Sgip1"
"B4galt6",1.19804261359773e-66,0.429368355908288,0.267,0.058,1.78903703488549e-62,"8","B4galt6"
"Syn2",2.06710547598011e-66,0.567258339215436,0.461,0.143,3.0868086072811e-62,"8","Syn2"
"Luc7l32",3.59972431989201e-66,0.521000955090512,0.417,0.121,5.37546832689474e-62,"8","Luc7l3"
"Elavl31",1.73785136519184e-65,0.57500334174914,0.606,0.224,2.59513344364098e-61,"8","Elavl3"
"Fus7",7.23348009437828e-65,0.612527113544697,0.643,0.251,1.08017558249351e-60,"8","Fus"
"Gdi13",1.03790220270871e-64,0.61231311164776,0.707,0.3,1.54989935930491e-60,"8","Gdi1"
"Snap91",1.46081196503274e-64,0.432859522885811,0.373,0.101,2.18143050738339e-60,"8","Snap91"
"Atp6v1a",6.15925146510267e-64,0.440021237908679,0.412,0.119,9.19761021283782e-60,"8","Atp6v1a"
"Nsg14",1.06454567446776e-63,0.716252261000401,0.756,0.413,1.5896860556827e-59,"8","Nsg1"
"Pcdh171",1.69205193107662e-63,0.826668486931737,0.41,0.13,2.52674114867672e-59,"8","Pcdh17"
"Dtx31",2.6918785080109e-63,0.520681471367599,0.456,0.143,4.01978217601267e-59,"8","Dtx3"
"Zmynd8",4.99280322698156e-63,0.359499951992326,0.253,0.054,7.45575305885157e-59,"8","Zmynd8"
"R3hdm1",9.3691525497007e-63,0.527958726920256,0.32,0.082,1.39909555024681e-58,"8","R3hdm1"
"Cited21",1.25055301363801e-62,0.47319093320534,0.364,0.1,1.86745081526565e-58,"8","Cited2"
"Fubp14",2.08121414862754e-62,0.481690445717694,0.438,0.134,3.10787708814551e-58,"8","Fubp1"
"Lancl1",4.56493639570556e-62,0.439970304660324,0.329,0.085,6.81681951970711e-58,"8","Lancl1"
"Magee1",6.42254946975214e-62,0.330619884590006,0.274,0.062,9.59079312318087e-58,"8","Magee1"
"Auts23",8.32565495132066e-62,0.509675798889284,0.371,0.104,1.24327005388071e-57,"8","Auts2"
"Dst",1.37851069424749e-61,0.413485069433266,0.274,0.064,2.05853001971977e-57,"8","Dst"
"Tmem179",1.40905558918209e-61,0.36506957622913,0.263,0.058,2.10414271132561e-57,"8","Tmem179"
"Srgap3",1.43638603209608e-61,0.367805756263247,0.26,0.058,2.14495526172908e-57,"8","Srgap3"
"Nsf",6.29031262548907e-61,0.336447807075731,0.295,0.07,9.39332384364283e-57,"8","Nsf"
"Ptpn5",1.1275420334543e-60,0.444705252442626,0.3,0.074,1.68375851855731e-56,"8","Ptpn5"
"Pnmal2",1.3535887497473e-60,0.383328620668229,0.29,0.07,2.02131407999765e-56,"8","Pnmal2"
"Tmx1",3.9958310576022e-60,0.359427105333924,0.29,0.07,5.96697451831736e-56,"8","Tmx1"
"Atp13a2",4.0441966854975e-60,0.470587381021971,0.382,0.11,6.03919891045342e-56,"8","Atp13a2"
"Rbm4b2",4.27467163849437e-60,0.386007554862314,0.306,0.077,6.38336715776365e-56,"8","Rbm4b"
"Nsg21",6.00193895005162e-60,0.584953654226575,0.521,0.186,8.96269543411208e-56,"8","Nsg2"
"Rab24",1.42611124953325e-59,0.480519942655386,0.419,0.128,2.129611928928e-55,"8","Rab24"
"Pam1",1.92829242158599e-59,0.541195534787803,0.251,0.057,2.87951907315436e-55,"8","Pam"
"Tnik",5.33506965380067e-59,0.389176525478182,0.253,0.057,7.96685951402055e-55,"8","Tnik"
"Tmem246",5.3507084236345e-59,0.364088555866636,0.279,0.067,7.9902128890134e-55,"8","Tmem246"
"Atp2a21",7.21267459624192e-59,0.542364524948857,0.353,0.102,1.07706869745681e-54,"8","Atp2a2"
"Mapk8",1.41097976263219e-58,0.384216728445283,0.293,0.072,2.10701607953866e-54,"8","Mapk8"
"Dync1i1",2.27102078310163e-58,0.499359529646417,0.392,0.117,3.39131533540567e-54,"8","Dync1i1"
"Ndfip2",3.04149151508908e-58,0.434414121198325,0.369,0.106,4.54185927948253e-54,"8","Ndfip2"
"Prrc2c3",3.83187203228757e-58,0.429592625836958,0.385,0.113,5.72213450581503e-54,"8","Prrc2c"
"Akap92",4.11546087812724e-58,0.398207365825189,0.323,0.085,6.14561772930741e-54,"8","Akap9"
"Satb1",6.63107442826832e-58,0.584228623953842,0.276,0.07,9.90218344373308e-54,"8","Satb1"
"Mef2a1",1.28407647254287e-57,0.367738448823674,0.29,0.073,1.91751139644827e-53,"8","Mef2a"
"Slc24a53",1.75169628256704e-57,0.651403371317593,0.493,0.179,2.61580805875737e-53,"8","Slc24a5"
"Mapre3",5.53731830201611e-57,0.364659204564981,0.279,0.068,8.26887742040066e-53,"8","Mapre3"
