"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gap43",0,0.544154951840723,0.975,0.831,0,"0","Gap43"
"Nrgn",0,0.533347899533658,0.949,0.762,0,"0","Nrgn"
"Stmn2",0,0.39006381184087,0.994,0.917,0,"0","Stmn2"
"Calm2",0,0.371042894825304,0.995,0.959,0,"0","Calm2"
"Stmn1",0,0.341329387179247,0.998,0.958,0,"0","Stmn1"
"Calm1",0,0.336838484871399,0.996,0.968,0,"0","Calm1"
"Sepw1",0,0.30268567929216,1,0.993,0,"0","Sepw1"
"Tuba1a",0,0.283676890772559,1,0.998,0,"0","Tuba1a"
"Tmsb10",0,0.262144619316708,1,0.997,0,"0","Tmsb10"
"Stmn3",2.70167635733845e-267,0.382375708339923,0.921,0.79,4.03441330441351e-263,"0","Stmn3"
"Snrpn",1.73481057206873e-262,0.389205930674872,0.914,0.761,2.59059262727023e-258,"0","Snrpn"
"Tubb2a",3.38271414549567e-244,0.378434487055216,0.908,0.793,5.05140703346869e-240,"0","Tubb2a"
"Atpif1",1.84942997801744e-228,0.251553216308651,0.992,0.971,2.76175378617344e-224,"0","Atpif1"
"Mif",1.25591270716396e-214,0.288869175136031,0.962,0.893,1.87545444560794e-210,"0","Mif"
"Rac3",3.2338248700135e-211,0.414937466118292,0.776,0.582,4.82907067839116e-207,"0","Rac3"
"Mllt11",7.2565395081436e-210,0.382914526589163,0.848,0.685,1.08361904475108e-205,"0","Mllt11"
"Arhgdig",2.08833629896778e-194,0.397369031641879,0.757,0.561,3.11851259524859e-190,"0","Arhgdig"
"Cnih2",6.83452911191681e-191,0.339247764033473,0.855,0.687,1.02060023228254e-186,"0","Cnih2"
"Tubb3",7.11684945569072e-189,0.3049702152853,0.928,0.797,1.0627591292183e-184,"0","Tubb3"
"Map1lc3a",1.97972605573085e-178,0.2972858482337,0.91,0.811,2.95632491902287e-174,"0","Map1lc3a"
"Calm3",1.19070897665912e-176,0.285537220584351,0.925,0.851,1.77808571484506e-172,"0","Calm3"
"Tubb2b",1.97819841885709e-169,0.257998818256448,0.961,0.892,2.95404369887929e-165,"0","Tubb2b"
"Gng3",3.55781156186493e-168,0.363103730608891,0.777,0.604,5.3128800053329e-164,"0","Gng3"
"Mgst3",6.36350674748303e-138,0.293326916006746,0.805,0.649,9.5026246260164e-134,"0","Mgst3"
"Snca",9.74593160037687e-137,0.359396947282429,0.67,0.494,1.45535996588428e-132,"0","Snca"
"Mef2c",3.52981528509446e-130,0.362875674186235,0.703,0.549,5.27107316523156e-126,"0","Mef2c"
"Basp1",1.88529142527694e-127,0.273296146775079,0.867,0.757,2.81530568536605e-123,"0","Basp1"
"Hsbp1",1.29905186067817e-126,0.251528278432608,0.893,0.826,1.93987414355072e-122,"0","Hsbp1"
"Uchl1",4.69991666519761e-126,0.352998601081619,0.657,0.503,7.01838555613959e-122,"0","Uchl1"
"Nme1",1.51853145520103e-121,0.268034684902971,0.842,0.751,2.2676230220517e-117,"0","Nme1"
"Rab3a",3.37374649810275e-119,0.341886113014483,0.648,0.481,5.03801564561684e-115,"0","Rab3a"
"Neurod6",7.43699371108823e-116,0.417062067443098,0.373,0.214,1.11056627087681e-111,"0","Neurod6"
"Serf1",1.12702524179698e-112,0.304869704730747,0.745,0.616,1.68298679357543e-108,"0","Serf1"
"Thra",1.3453078349032e-111,0.267834400567154,0.799,0.685,2.00894818986095e-107,"0","Thra"
"Fabp3",4.11168897817084e-106,0.336509238662557,0.54,0.368,6.13998515110252e-102,"0","Fabp3"
"Camk2n1",1.95566092196707e-102,0.263370126482865,0.813,0.695,2.92038845477342e-98,"0","Camk2n1"
"Sncb",2.49764658892501e-101,0.338053335450184,0.568,0.402,3.72973565124172e-97,"0","Sncb"
"Vamp2",1.24329354588742e-100,0.277711801371842,0.736,0.61,1.85661025207369e-96,"0","Vamp2"
"Ctxn1",1.44089427722348e-97,0.328193721957497,0.6,0.458,2.15168742417783e-93,"0","Ctxn1"
"S100a10",1.45602338374314e-90,0.34740311680916,0.456,0.308,2.17427971894362e-86,"0","S100a10"
"Fxyd7",7.56994698140976e-89,0.316199688776046,0.554,0.4,1.13042018273392e-84,"0","Fxyd7"
"Bex2",3.63369647132253e-88,0.263907874035388,0.736,0.607,5.42619894062593e-84,"0","Bex2"
"Cycs",3.15730701038504e-87,0.260590781265329,0.75,0.649,4.71480655860798e-83,"0","Cycs"
"Ttc9b",5.69444577159792e-85,0.275487332865129,0.685,0.561,8.50351587072717e-81,"0","Ttc9b"
"Serp2",2.52236881624127e-84,0.276138842556,0.629,0.49,3.76665335329309e-80,"0","Serp2"
"1110008P14Rik",4.07080267524637e-83,0.307708931122014,0.559,0.419,6.0789296349454e-79,"0","1110008P14Rik"
"Stmn4",8.19816844940022e-81,0.280488111948185,0.584,0.437,1.22423249454894e-76,"0","Stmn4"
"Nefl",9.60858102407812e-71,0.339136316845519,0.316,0.195,1.43484940432558e-66,"0","Nefl"
"Ywhah",1.63177987866827e-69,0.266098163007398,0.645,0.534,2.43673689281533e-65,"0","Ywhah"
"Fkbp1b",3.59812428960497e-64,0.313970333134214,0.331,0.216,5.3730790016671e-60,"0","Fkbp1b"
"Ccl27a",5.16613004423437e-60,0.281635557105872,0.461,0.343,7.71458199505519e-56,"0","Ccl27a"
"Crmp1",1.22951365051323e-58,0.282519230678123,0.471,0.352,1.8360327343114e-54,"0","Crmp1"
"Acot7",2.46125341731135e-57,0.286487762123748,0.393,0.28,3.67538972807104e-53,"0","Acot7"
"Rprm",4.56462060159479e-55,0.286777042369582,0.352,0.241,6.8163479443615e-51,"0","Rprm"
"Ppp1r14c",1.04820796295975e-47,0.264872733448843,0.301,0.204,1.56528895108779e-43,"0","Ppp1r14c"
"Stx1a",8.73374731191513e-47,0.25801232336814,0.296,0.2,1.30421048608829e-42,"0","Stx1a"
"Cdk5r2",1.24866430211605e-43,0.250155746010046,0.251,0.164,1.86463040234989e-39,"0","Cdk5r2"
"2900011O08Rik",1.20896002401315e-42,0.253547279844297,0.285,0.195,1.80534000385883e-38,"0","2900011O08Rik"
"Snap25",2.17896631523076e-42,0.262049872195412,0.348,0.253,3.25385039853409e-38,"0","Snap25"
"Kctd13",1.53103053921621e-40,0.250126327206378,0.334,0.24,2.28628790421156e-36,"0","Kctd13"
"mt-Nd1",0,0.502696790590424,1,1,0,"1","mt-Nd1"
"mt-Atp6",0,0.48972921291791,1,1,0,"1","mt-Atp6"
"mt-Cytb",0,0.476440563255798,1,1,0,"1","mt-Cytb"
"mt-Co2",0,0.46482462034151,0.999,0.998,0,"1","mt-Co2"
"mt-Nd4",0,0.455319723390716,1,0.998,0,"1","mt-Nd4"
"mt-Co1",0,0.451361223965684,1,1,0,"1","mt-Co1"
"mt-Co3",0,0.405285782813414,1,1,0,"1","mt-Co3"
"Cox6a1",1.49495534450215e-201,0.270248476478053,0.996,0.983,2.23241681594507e-197,"1","Cox6a1"
"mt-Nd2",1.01605394319922e-199,0.340597230730413,0.948,0.919,1.5172733533794e-195,"1","mt-Nd2"
"Dbi",3.74087275624368e-179,0.255059525444598,0.997,0.985,5.58624528689869e-175,"1","Dbi"
"mt-Nd4l",1.715189720403e-127,0.360731084253326,0.795,0.713,2.5612928094778e-123,"1","mt-Nd4l"
"mt-Nd5",1.01538954114215e-101,0.353203765410425,0.712,0.629,1.51628120178758e-97,"1","mt-Nd5"
"mt-Nd3",1.01490576967632e-99,0.320027092008502,0.775,0.706,1.51555878585764e-95,"1","mt-Nd3"
"Pcp4",3.63412136363837e-41,0.286832416243099,0.675,0.619,5.42683343232118e-37,"1","Pcp4"
"S100a1",7.93361573325514e-29,0.260369683130608,0.496,0.445,1.18472683744699e-24,"1","S100a1"
"Sfxn52",0,1.05206806677652,0.64,0.196,0,"2","Sfxn5"
"Spry2",0,0.955240630272993,0.405,0.092,0,"2","Spry2"
"Actb2",0,0.928278136980141,1,0.977,0,"2","Actb"
"Gnb11",0,0.89706498760758,0.947,0.641,0,"2","Gnb1"
"Insig1",0,0.890872084611035,0.406,0.111,0,"2","Insig1"
"Cbx32",0,0.808408572629139,0.673,0.348,0,"2","Cbx3"
"Dpysl21",0,0.717444092477894,0.937,0.685,0,"2","Dpysl2"
"Abhd2",5.90440350332591e-258,0.696407741338583,0.319,0.089,8.81704575151658e-254,"2","Abhd2"
"Ppp1r16b",2.51958109937443e-211,0.680574245127885,0.29,0.087,3.76249045569584e-207,"2","Ppp1r16b"
"Nfia2",1.41849966145023e-198,0.672704753262087,0.512,0.254,2.11824554444363e-194,"2","Nfia"
"Shank1",8.34190838102963e-171,0.581707225895583,0.617,0.374,1.24569717853916e-166,"2","Shank1"
"Gatad1",2.31780117236061e-164,0.636364015884943,0.396,0.18,3.4611724906861e-160,"2","Gatad1"
"Cplx2",8.75880752548834e-158,0.629523439093586,0.593,0.36,1.30795272778117e-153,"2","Cplx2"
"Ncam12",1.0080048821184e-152,0.486455956570151,0.508,0.269,1.50525369046741e-148,"2","Ncam1"
"Clasp2",4.22676545216691e-133,0.642802137917734,0.306,0.132,6.31182884972085e-129,"2","Clasp2"
"Dusp3",1.43116035041741e-128,0.593104965741591,0.283,0.117,2.13715175127832e-124,"2","Dusp3"
"Gas7",2.09882690880011e-122,0.523791259764672,0.506,0.301,3.1341782229112e-118,"2","Gas7"
"Slc24a5",3.00860582404065e-121,0.531534102071115,0.34,0.158,4.49275107703991e-117,"2","Slc24a5"
"Gsk3b2",7.11464827687826e-121,0.543712837377151,0.529,0.338,1.06243042718623e-116,"2","Gsk3b"
"Ncan1",8.58698330274193e-111,0.38737115076711,0.543,0.335,1.28229421659845e-106,"2","Ncan"
"Pdcd4",1.22192793170459e-104,0.456927176160988,0.268,0.117,1.82470498041447e-100,"2","Pdcd4"
"Fam81a",1.97887787661114e-101,0.508067348204078,0.313,0.151,2.95505833314342e-97,"2","Fam81a"
"Nrgn1",3.19286236564044e-82,0.272823290422143,0.923,0.804,4.76790137061087e-78,"2","Nrgn"
"Myef2",8.16004053250408e-80,0.434527310218894,0.343,0.19,1.21853885271883e-75,"2","Myef2"
"St131",2.51290157913103e-69,0.402869198087243,0.5,0.355,3.75251592811636e-65,"2","St13"
"Dfna5",3.93237065899131e-69,0.416274485841707,0.257,0.132,5.87220910507172e-65,"2","Dfna5"
"Ncs1",7.24135759559427e-67,0.395763643359848,0.409,0.258,1.08135192975009e-62,"2","Ncs1"
"Otub1",1.35542864383066e-28,0.303295463645319,0.292,0.208,2.02406159383232e-24,"2","Otub1"
"C1qa",0,2.74764419277656,0.623,0.013,0,"3","C1qa"
"C1qb",0,2.74539040521004,0.659,0.015,0,"3","C1qb"
"C1qc",0,2.72893241750062,0.63,0.014,0,"3","C1qc"
"Tyrobp",0,2.59227470128074,0.697,0.026,0,"3","Tyrobp"
"Lgmn",0,2.58973455580511,0.642,0.076,0,"3","Lgmn"
"Fcer1g",0,2.55240367504729,0.673,0.021,0,"3","Fcer1g"
"Hexb",0,2.53023790225996,0.521,0.03,0,"3","Hexb"
"Lyz2",0,2.04085222015263,0.284,0.006,0,"3","Lyz2"
"Ctsd",0,2.01285330020218,0.523,0.11,0,"3","Ctsd"
"Ctss",0,1.97574558872019,0.495,0.006,0,"3","Ctss"
"Fcrls",0,1.87114556419722,0.45,0.004,0,"3","Fcrls"
"Csf1r",0,1.77897452825717,0.425,0.003,0,"3","Csf1r"
"B2m",0,1.7445788480565,0.579,0.133,0,"3","B2m"
"Cyba",0,1.65374573892938,0.494,0.066,0,"3","Cyba"
"Ctsz",0,1.64962560698194,0.457,0.064,0,"3","Ctsz"
"P2ry12",0,1.63652808791823,0.314,0.004,0,"3","P2ry12"
"Grn",0,1.63353573886294,0.443,0.06,0,"3","Grn"
"Crybb1",0,1.57577776817533,0.419,0.017,0,"3","Crybb1"
"Laptm5",0,1.55870964345498,0.406,0.006,0,"3","Laptm5"
"Trem2",0,1.53796778071964,0.391,0.004,0,"3","Trem2"
"Aif1",0,1.53707861839382,0.499,0.03,0,"3","Aif1"
"Fcgr3",0,1.51780008025311,0.392,0.006,0,"3","Fcgr3"
"Arpc1b",0,1.46403881638396,0.541,0.078,0,"3","Arpc1b"
"Cx3cr1",0,1.44314356970459,0.32,0.003,0,"3","Cx3cr1"
"Ly86",0,1.38580610262094,0.393,0.004,0,"3","Ly86"
"Ltc4s",0,1.37052526385582,0.376,0.006,0,"3","Ltc4s"
"Cd68",0,1.30947250164109,0.359,0.005,0,"3","Cd68"
"Gpr34",0,1.27228532922141,0.295,0.002,0,"3","Gpr34"
"Unc93b1",0,1.25296682013865,0.348,0.01,0,"3","Unc93b1"
"Pld4",0,1.22010842692531,0.319,0.002,0,"3","Pld4"
"Hexa",0,1.18918224614681,0.376,0.045,0,"3","Hexa"
"Rgs10",0,1.16089152028267,0.485,0.085,0,"3","Rgs10"
"Spi1",0,1.15383149189815,0.346,0.005,0,"3","Spi1"
"Cd53",0,1.13972954501481,0.299,0.002,0,"3","Cd53"
"Ptpn18",0,1.1309991364215,0.345,0.021,0,"3","Ptpn18"
"Gmfg",0,1.0951361002893,0.33,0.011,0,"3","Gmfg"
"Arhgdib",0,1.0846686595947,0.386,0.052,0,"3","Arhgdib"
"Pycard",0,1.00397043605012,0.312,0.014,0,"3","Pycard"
"Hpgds",0,0.969063309903769,0.297,0.005,0,"3","Hpgds"
"Rac2",0,0.877708144906238,0.263,0.004,0,"3","Rac2"
"Vamp8",7.99586388777973e-301,0.941475763296464,0.333,0.043,1.19402235436215e-296,"3","Vamp8"
"Maf",7.86127311335591e-298,0.995841419819522,0.279,0.03,1.17392391401744e-293,"3","Maf"
"Tmsb4x",1.31846098767808e-292,0.79049140409797,0.999,0.998,1.96885779289968e-288,"3","Tmsb4x"
"Ctsa",4.78175411402545e-263,1.10362105794866,0.337,0.052,7.14059341847421e-259,"3","Ctsa"
"Clic1",2.9998857664499e-253,1.17516664497258,0.504,0.123,4.47972941503963e-249,"3","Clic1"
"Serinc3",2.04649333653573e-250,0.919201886972539,0.284,0.037,3.0560284994488e-246,"3","Serinc3"
"Ctsb",1.73949560576861e-243,1.89585501051902,0.557,0.173,2.59758878809426e-239,"3","Ctsb"
"Gas6",8.15033304315444e-243,1.00580789212714,0.288,0.04,1.21708923333425e-238,"3","Gas6"
"Gusb",2.22939163350949e-224,0.802745088516304,0.273,0.038,3.32915052631972e-220,"3","Gusb"
"Sepp1",8.12657025621101e-215,1.57100298594203,0.544,0.169,1.21354073635999e-210,"3","Sepp1"
"Coro1a",1.40275118550175e-202,0.965017630915846,0.374,0.079,2.09472834530976e-198,"3","Coro1a"
"Ly6e",2.27381435046446e-168,0.867495521479668,0.307,0.063,3.39548696954858e-164,"3","Ly6e"
"Pfn1",2.11464972279633e-153,0.747939627345299,0.947,0.795,3.15780643105176e-149,"3","Pfn1"
"Lst1",3.10701000159965e-145,0.912714619404046,0.318,0.076,4.63969803538876e-141,"3","Lst1"
"Snx2",5.59131043545945e-128,0.793816570323417,0.281,0.068,8.34950387327159e-124,"3","Snx2"
"Asah1",2.79186618857256e-123,0.683974888776088,0.271,0.063,4.1690937793954e-119,"3","Asah1"
"Snx5",1.50165720957441e-116,0.666210676005577,0.334,0.096,2.24242471105747e-112,"3","Snx5"
"Ostf1",2.8504901634516e-113,0.625946048006345,0.308,0.084,4.25663696108228e-109,"3","Ostf1"
"Itm2b3",1.64435262608737e-105,1.12221389050244,0.706,0.447,2.45551177653627e-101,"3","Itm2b"
"Ctsl",2.24697776099326e-105,1.14039773769059,0.437,0.172,3.35541189049123e-101,"3","Ctsl"
"Npc21",6.74083204787273e-104,0.86929009590193,0.519,0.24,1.00660844970884e-99,"3","Npc2"
"Clta",1.86146145497173e-93,0.808951517400944,0.716,0.464,2.77972039070928e-89,"3","Clta"
"Gatm",1.23534130589382e-86,0.7671084482211,0.569,0.293,1.84473517209124e-82,"3","Gatm"
"Cotl1",1.2718055005941e-82,0.666104460799355,0.497,0.23,1.89918715403717e-78,"3","Cotl1"
"H2-D1",4.39777192375326e-80,0.845893246961381,0.277,0.089,6.56719281374075e-76,"3","H2-D1"
"Sdcbp",8.62636627935485e-69,0.525963836641778,0.317,0.119,1.28817527649606e-64,"3","Sdcbp"
"Gpx1",1.33094601562843e-67,0.641047311446625,0.568,0.322,1.98750168513793e-63,"3","Gpx1"
"Sft2d1",1.05282145146655e-65,0.50856785813361,0.278,0.098,1.57217827347499e-61,"3","Sft2d1"
"Lgals1",1.87086210170459e-65,0.888456284828378,0.319,0.13,2.79375837647546e-61,"3","Lgals1"
"Bin1",4.70921991564682e-65,0.521708645157977,0.31,0.117,7.0322781000354e-61,"3","Bin1"
"Abhd12",1.06851508490314e-60,0.483919736482541,0.289,0.108,1.59561357628586e-56,"3","Abhd12"
"Lamp11",2.49421670749665e-60,0.686171826683112,0.581,0.369,3.72461380930474e-56,"3","Lamp1"
"Sat1",3.04051664664701e-60,0.568979717168484,0.337,0.142,4.54040350843798e-56,"3","Sat1"
"Limd2",3.79968646867905e-59,0.54300138544789,0.4,0.186,5.67407180367842e-55,"3","Limd2"
"Rap1b",1.12680998734404e-56,0.532170522773204,0.376,0.171,1.68266535410086e-52,"3","Rap1b"
"Ftl1",4.6966626710835e-56,0.289461578862438,1,0.999,7.01352636672899e-52,"3","Ftl1"
"Psap2",1.0161315917296e-54,0.654410501330005,0.552,0.337,1.51738930592982e-50,"3","Psap"
"Erp29",2.4836655348818e-54,0.609057158275557,0.427,0.223,3.70885774323899e-50,"3","Erp29"
"Actb3",3.02864685404106e-54,0.583318348093637,0.995,0.98,4.52267834713951e-50,"3","Actb"
"Rrbp1",1.54418234578109e-52,0.498186382679396,0.284,0.115,2.30592749695491e-48,"3","Rrbp1"
"Hmgb2",2.06241820388406e-52,0.451045752551809,0.39,0.185,3.07980910386007e-48,"3","Hmgb2"
"Myl12a",2.69266134065877e-51,0.396371319576116,0.342,0.15,4.02095118000574e-47,"3","Myl12a"
"Capza2",2.98578152389226e-51,0.51653629196892,0.613,0.392,4.45866754962831e-47,"3","Capza2"
"Fau",1.05051676726667e-50,0.286883288990006,0.983,0.96,1.56873668855932e-46,"3","Fau"
"Rps6",3.25440085942606e-50,0.33613267936411,0.936,0.865,4.85979680338093e-46,"3","Rps6"
"Idh2",5.08716799188551e-49,0.463127776587268,0.31,0.135,7.59666796228264e-45,"3","Idh2"
"Rps11",5.48473781496298e-49,0.293617579917744,0.979,0.946,8.19035897908422e-45,"3","Rps11"
"Capzb",2.00124548333719e-47,0.448697346319948,0.531,0.308,2.98845988026742e-43,"3","Capzb"
"Atp6v0e",1.24253837970106e-45,0.435336927467963,0.382,0.19,1.85548256240759e-41,"3","Atp6v0e"
"Arpc2",6.51213874540696e-44,0.465255954576513,0.631,0.441,9.72457678851621e-40,"3","Arpc2"
"Rpl35a",2.1774863736776e-40,0.267433072563768,0.968,0.929,3.25164040181276e-36,"3","Rpl35a"
"Snx6",3.04440092506586e-40,0.505567184643791,0.291,0.138,4.54620390140085e-36,"3","Snx6"
"Pdia3",4.21265099936003e-40,0.503920199609718,0.303,0.145,6.29075173734434e-36,"3","Pdia3"
"Rpl10",2.75893141811649e-39,0.286100006079502,0.938,0.898,4.11991228667336e-35,"3","Rpl10"
"Hsp90b1",2.90828017157255e-39,0.499157426570585,0.303,0.145,4.34293478020928e-35,"3","Hsp90b1"
"Mtdh",2.39590188693519e-38,0.397862993497509,0.266,0.119,3.57780028776033e-34,"3","Mtdh"
"Rpn2",2.89455463421585e-37,0.409798406093896,0.259,0.117,4.32243843527452e-33,"3","Rpn2"
"Hnrnpf1",2.07892820268877e-36,0.394727508335673,0.434,0.247,3.10446348507514e-32,"3","Hnrnpf"
"Cd631",2.19310034530939e-36,0.479344308122756,0.543,0.358,3.27495674565051e-32,"3","Cd63"
"Tmem176b",7.54091305766031e-36,0.475789037102773,0.292,0.143,1.12608454690041e-31,"3","Tmem176b"
"Arpc4",8.74011333572662e-36,0.372772016218217,0.482,0.288,1.30516112442406e-31,"3","Arpc4"
"Sh3bgrl3",2.39752726919961e-35,0.352177664340295,0.797,0.636,3.58022747109578e-31,"3","Sh3bgrl3"
"Gdi2",1.47137648152283e-34,0.407991104883392,0.372,0.204,2.19720649985804e-30,"3","Gdi2"
"Tmed10",2.09954596338799e-34,0.388633776745087,0.286,0.14,3.13525198712729e-30,"3","Tmed10"
"Camk1",3.77308473430583e-34,0.401303603547604,0.365,0.198,5.63434743373889e-30,"3","Camk1"
"Fam49b",9.81762387432459e-34,0.385641826846871,0.321,0.165,1.46606577315289e-29,"3","Fam49b"
"Hprt",1.1910887236301e-33,0.37601550536839,0.299,0.149,1.77865279099682e-29,"3","Hprt"
"Tmem50a",9.18436049188203e-33,0.416239465333679,0.312,0.163,1.37150055225274e-28,"3","Tmem50a"
"Sparc2",3.19698364370153e-31,0.403116154190256,0.547,0.376,4.7740556751395e-27,"3","Sparc"
"Cstb",2.97208899731978e-30,0.488741773856801,0.337,0.191,4.43822049969763e-26,"3","Cstb"
"Rhoa",6.67653826075723e-30,0.380072117427385,0.479,0.307,9.97007458478877e-26,"3","Rhoa"
"Etfb",2.21272903186492e-29,0.35755019311609,0.364,0.207,3.30426826328388e-25,"3","Etfb"
"Hspa5",4.74340986424741e-29,0.41043797740703,0.33,0.182,7.08333395028066e-25,"3","Hspa5"
"Spcs21",7.82149829849302e-29,0.394852653558521,0.411,0.25,1.16798434091396e-24,"3","Spcs2"
"Gnai21",2.17018623511469e-28,0.340675297706104,0.647,0.476,3.24073910489677e-24,"3","Gnai2"
"Calr1",1.14347826054691e-27,0.434456246764522,0.36,0.215,1.70755608647471e-23,"3","Calr"
"Cltc",2.98325672608899e-27,0.411389799626523,0.259,0.135,4.45489726906868e-23,"3","Cltc"
"Pdia6",5.34716255056232e-27,0.37229773540194,0.292,0.157,7.98491783675472e-23,"3","Pdia6"
"Atp6v0b",3.88667080087989e-25,0.347861336053871,0.496,0.339,5.80396550695394e-21,"3","Atp6v0b"
"Rap1a",1.12503854171061e-24,0.310165491173453,0.29,0.159,1.68002005433645e-20,"3","Rap1a"
"Psme2",6.9767468612402e-24,0.30792450687056,0.281,0.154,1.041837608789e-19,"3","Psme2"
"Arpc3",7.35514559591321e-24,0.323790493157723,0.615,0.471,1.09834389183772e-19,"3","Arpc3"
"Rac1",8.24560269278583e-23,0.296246876721225,0.479,0.318,1.23131585011371e-18,"3","Rac1"
"Gng5",3.80696238641605e-21,0.268643037419018,0.718,0.56,5.68493693163508e-17,"3","Gng5"
"Arl6ip13",3.95877849967596e-21,0.324721189093782,0.471,0.321,5.91164393356611e-17,"3","Arl6ip1"
"Actr3",4.2259974177099e-21,0.302679486485059,0.318,0.191,6.31068194386619e-17,"3","Actr3"
"H2afz3",3.98303696654296e-20,0.273078746189736,0.706,0.574,5.9478691021386e-16,"3","H2afz"
"Tmbim61",1.80239128981607e-19,0.31648623951173,0.472,0.331,2.69151091308233e-15,"3","Tmbim6"
"Rbm3",4.01392553641454e-19,0.268474017404772,0.608,0.464,5.99399500352783e-15,"3","Rbm3"
"Tpm3",4.4634357970116e-19,0.295877708910384,0.455,0.312,6.66524867567743e-15,"3","Tpm3"
"Hnrnpa3",8.0750411516057e-19,0.266055348247104,0.46,0.316,1.20584589516928e-14,"3","Hnrnpa3"
"Slc25a5",1.9006930379636e-18,0.26791032328465,0.752,0.609,2.83830491359104e-14,"3","Slc25a5"
"Psma1",5.1115857888177e-18,0.258987560151598,0.353,0.222,7.63313105844148e-14,"3","Psma1"
"Apoe1",2.19092316003701e-17,0.60036657780904,0.979,0.966,3.27170555488326e-13,"3","Apoe"
"Psme1",3.69701733874985e-17,0.259427394792709,0.312,0.193,5.52075599195514e-13,"3","Psme1"
"Ssr2",4.56445997793453e-17,0.258890285210971,0.258,0.152,6.81610808504964e-13,"3","Ssr2"
"Manf",2.18930976641954e-16,0.281226135730836,0.315,0.202,3.26929627419431e-12,"3","Manf"
"Cd812",7.09758332416616e-16,0.302144783670143,0.705,0.584,1.05988211779773e-11,"3","Cd81"
"Cd92",1.52678561566584e-15,0.317508781566608,0.459,0.335,2.2799489598738e-11,"3","Cd9"
"Tmem592",2.50811748175069e-15,0.271888556333771,0.345,0.231,3.7453718354983e-11,"3","Tmem59"
"Stra13",2.57515896977016e-15,0.266748225029144,0.398,0.273,3.84548488955779e-11,"3","Stra13"
"Eef1d",3.81027340570144e-14,0.25335419979967,0.372,0.255,5.68988127673397e-10,"3","Eef1d"
"Ptprz14",0,2.72446063678001,0.983,0.223,0,"4","Ptprz1"
"Slc1a31",0,2.48941026707764,0.97,0.199,0,"4","Slc1a3"
"Malat14",0,2.40077717098009,0.969,0.528,0,"4","Malat1"
"Plpp3",0,2.14735699709551,0.901,0.109,0,"4","Plpp3"
"Mfge8",0,2.09581493368382,0.919,0.152,0,"4","Mfge8"
"Gm3764",0,2.02881658233806,0.88,0.15,0,"4","Gm3764"
"Bcan",0,1.87069707828512,0.897,0.173,0,"4","Bcan"
"Sparcl13",0,1.85810985587928,0.85,0.367,0,"4","Sparcl1"
"Apoe2",0,1.75784196880821,1,0.965,0,"4","Apoe"
"Aqp4",0,1.71655954507169,0.673,0.064,0,"4","Aqp4"
"Pla2g7",0,1.70299277402989,0.76,0.109,0,"4","Pla2g7"
"Atp1a22",0,1.68876356722012,0.911,0.221,0,"4","Atp1a2"
"Clu",0,1.67468049411913,0.752,0.159,0,"4","Clu"
"Gja1",0,1.66114800617664,0.764,0.096,0,"4","Gja1"
"Cspg52",0,1.64311957848344,0.956,0.337,0,"4","Cspg5"
"Ednrb",0,1.63382260487424,0.717,0.075,0,"4","Ednrb"
"Hes5",0,1.59501989469174,0.635,0.133,0,"4","Hes5"
"Slc4a4",0,1.59461686443344,0.729,0.097,0,"4","Slc4a4"
"Cd93",0,1.57950681047154,0.949,0.309,0,"4","Cd9"
"Ncan3",0,1.54887603365067,0.865,0.342,0,"4","Ncan"
"Igfbp23",0,1.54850227113518,0.847,0.283,0,"4","Igfbp2"
"Slc7a10",0,1.52428090656888,0.628,0.075,0,"4","Slc7a10"
"Atp1b2",0,1.50611160529971,0.772,0.146,0,"4","Atp1b2"
"Msmo1",0,1.4480729198456,0.697,0.112,0,"4","Msmo1"
"Luzp2",0,1.43022126606431,0.671,0.131,0,"4","Luzp2"
"Xist",0,1.41809171319345,0.604,0.125,0,"4","Xist"
"Btbd17",0,1.41497552592569,0.582,0.06,0,"4","Btbd17"
"Ptn2",0,1.41073550500494,1,0.935,0,"4","Ptn"
"Cd632",0,1.37840889255333,0.923,0.339,0,"4","Cd63"
"Htra1",0,1.37157435712652,0.588,0.049,0,"4","Htra1"
"Gpr37l1",0,1.34218210636049,0.568,0.064,0,"4","Gpr37l1"
"Slc1a22",0,1.31923348185094,0.84,0.255,0,"4","Slc1a2"
"Mlc1",0,1.31807348609605,0.755,0.152,0,"4","Mlc1"
"Slc6a11",0,1.31317527875025,0.636,0.113,0,"4","Slc6a11"
"Tspan71",0,1.30523859484609,0.916,0.395,0,"4","Tspan7"
"Cd813",0,1.30194635423889,0.978,0.57,0,"4","Cd81"
"Pnisr",0,1.29138538048749,0.671,0.115,0,"4","Pnisr"
"Psap3",0,1.26190419058548,0.893,0.319,0,"4","Psap"
"Ctsl1",0,1.21386287238474,0.713,0.159,0,"4","Ctsl"
"Tril",0,1.20674681162903,0.494,0.04,0,"4","Tril"
"Sox2",0,1.20514189027919,0.741,0.17,0,"4","Sox2"
"Lfng",0,1.19611704828769,0.441,0.022,0,"4","Lfng"
"Ntrk2",0,1.18825922861817,0.592,0.116,0,"4","Ntrk2"
"Zbtb20",0,1.17839766157344,0.649,0.133,0,"4","Zbtb20"
"Cldn10",0,1.17245207192208,0.578,0.095,0,"4","Cldn10"
